"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 04 14:13:42 GMT 2024","Mon Mar 04 14:13:42 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestSplitPart","","","test_build_assert_equal",""
"passed","Mon Mar 04 14:15:13 GMT 2024","Mon Mar 04 14:15:22 GMT 2024","9014","tests.functional.adapter.utils","test_utils","TestFireboltEquals","","","test_equal_values",""
"skipped","Mon Mar 04 14:06:06 GMT 2024","Mon Mar 04 14:06:06 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"skipped","Mon Mar 04 13:53:01 GMT 2024","Mon Mar 04 13:53:01 GMT 2024","0","tests.functional.adapter","test_basic","TestSnapshotTimestampFirebolt","","","test_snapshot_timestamp",""
"skipped","Mon Mar 04 14:12:02 GMT 2024","Mon Mar 04 14:12:02 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestEscapeSingleQuotes","","","test_build_assert_equal",""
"passed","Mon Mar 04 14:09:33 GMT 2024","Mon Mar 04 14:09:41 GMT 2024","7707","tests.functional.adapter.utils","test_data_types","TestTypeNumeric","","","test_check_types_assert_match",""
"passed","Mon Mar 04 13:51:27 GMT 2024","Mon Mar 04 13:51:37 GMT 2024","10295","tests.functional.adapter","test_basic","TestSingularTestsEphemeralFirebolt","","","test_singular_tests_ephemeral",""
"skipped","Mon Mar 04 14:06:06 GMT 2024","Mon Mar 04 14:06:06 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__bad_unique_key_list","expect compilation error from unique key not being a column"
"passed","Mon Mar 04 14:00:44 GMT 2024","Mon Mar 04 14:00:47 GMT 2024","3648","tests.functional.adapter","test_query_comment","TestNullQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Mon Mar 04 14:00:35 GMT 2024","Mon Mar 04 14:00:35 GMT 2024","844","tests.functional.adapter","test_query_comment","TestMacroInvalidQueryCommentsFirebolt","","","test_run_assert_comments",""
"passed","Mon Mar 04 13:51:45 GMT 2024","Mon Mar 04 13:51:46 GMT 2024","1041","tests.functional.adapter","test_basic","TestEmptyFirebolt","","","test_empty",""
"passed","Mon Mar 04 14:02:32 GMT 2024","Mon Mar 04 14:02:38 GMT 2024","5903","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksFirebolt","","","test_pre_and_post_run_hooks",""
"skipped","Mon Mar 04 14:01:43 GMT 2024","Mon Mar 04 14:01:43 GMT 2024","0","tests.functional.adapter","test_simple_copy","TestSimpleCopyBase","","","test_simple_copy_with_materialized_views",""
"passed","Mon Mar 04 14:04:14 GMT 2024","Mon Mar 04 14:04:22 GMT 2024","8787","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSnapshotsFirebolt","","","test_hooks_on_snapshots",""
"passed","Mon Mar 04 14:06:23 GMT 2024","Mon Mar 04 14:06:37 GMT 2024","13963","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"passed","Mon Mar 04 13:58:09 GMT 2024","Mon Mar 04 13:58:12 GMT 2024","2573","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"passed","Mon Mar 04 14:04:32 GMT 2024","Mon Mar 04 14:04:38 GMT 2024","6061","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Mon Mar 04 13:53:08 GMT 2024","Mon Mar 04 13:53:13 GMT 2024","5516","tests.functional.adapter","test_basic","TestDocsGenerateFirebolt","","","test_run_and_generate_no_compile",""
"passed","Mon Mar 04 14:11:06 GMT 2024","Mon Mar 04 14:11:12 GMT 2024","5544","tests.functional.adapter.utils","test_utils","TestConcat","","","test_build_assert_equal",""
"passed","Mon Mar 04 14:02:18 GMT 2024","Mon Mar 04 14:02:22 GMT 2024","4391","tests.functional.adapter","test_timestamps","TestCurrentTimestampFirebolt","","","test_current_timestamps",""
