"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 15 14:07:18 GMT 2024","Thu Aug 15 14:07:27 GMT 2024","9028","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_expected_actual",""
"passed","Thu Aug 15 14:04:46 GMT 2024","Thu Aug 15 14:04:53 GMT 2024","6958","tests.functional.adapter.utils","test_utils","TestDateDiff","","","test_build_assert_equal",""
"passed","Thu Aug 15 13:57:49 GMT 2024","Thu Aug 15 13:57:56 GMT 2024","7564","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigWithCountFirebolt","","","test_pre_and_post_model_hooks_model_and_project",""
"passed","Thu Aug 15 13:44:25 GMT 2024","Thu Aug 15 13:44:26 GMT 2024","1070","tests.functional.adapter","test_basic","TestEmptyFirebolt","","","test_empty",""
"passed","Thu Aug 15 13:51:44 GMT 2024","Thu Aug 15 13:52:13 GMT 2024","29380","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"passed","Thu Aug 15 13:59:35 GMT 2024","Thu Aug 15 13:59:55 GMT 2024","19423","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"passed","Thu Aug 15 13:54:01 GMT 2024","Thu Aug 15 13:54:06 GMT 2024","4455","tests.functional.adapter","test_query_comment","TestEmptyQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Thu Aug 15 13:55:29 GMT 2024","Thu Aug 15 13:55:34 GMT 2024","5258","tests.functional.adapter","test_timestamps","TestCurrentTimestampFirebolt","","","test_current_timestamps",""
"skipped","Thu Aug 15 14:05:52 GMT 2024","Thu Aug 15 14:05:52 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestListagg","","","test_build_assert_equal",""
"passed","Thu Aug 15 14:05:27 GMT 2024","Thu Aug 15 14:05:34 GMT 2024","6946","tests.functional.adapter.utils","test_utils","TestLastDay","","","test_build_assert_equal",""
"skipped","Thu Aug 15 13:59:01 GMT 2024","Thu Aug 15 13:59:01 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__bad_unique_key","expect compilation error from unique key not being a column"
"passed","Thu Aug 15 13:58:41 GMT 2024","Thu Aug 15 13:58:56 GMT 2024","14774","tests.functional.adapter.incremental","test_incremental","TestIncrementalPredicatesDeleteInsertFirebolt","","","test__incremental_predicates","seed should match model after two incremental runs"
"passed","Thu Aug 15 13:45:21 GMT 2024","Thu Aug 15 13:45:37 GMT 2024","15816","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
"passed","Thu Aug 15 14:06:48 GMT 2024","Thu Aug 15 14:06:53 GMT 2024","5250","tests.functional.adapter.utils","test_utils","TestStringLiteral","","","test_build_assert_equal",""
"skipped","Thu Aug 15 13:45:41 GMT 2024","Thu Aug 15 13:45:41 GMT 2024","0","tests.functional.adapter","test_basic","TestSnapshotCheckColsFirebolt","","","test_snapshot_check_cols",""
"passed","Thu Aug 15 13:50:05 GMT 2024","Thu Aug 15 13:50:09 GMT 2024","4417","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Thu Aug 15 13:49:06 GMT 2024","Thu Aug 15 13:49:29 GMT 2024","23530","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Thu Aug 15 13:53:34 GMT 2024","Thu Aug 15 13:53:38 GMT 2024","4308","tests.functional.adapter","test_query_comment","TestMacroArgsQueryCommentsFirebolt","","","test_matches_comment",""
"skipped","Thu Aug 15 13:59:01 GMT 2024","Thu Aug 15 13:59:01 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
"skipped","Thu Aug 15 13:52:18 GMT 2024","Thu Aug 15 13:52:18 GMT 2024","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRuntimeDdlEnforcementFirebolt","","","test__constraints_ddl",""
"passed","Thu Aug 15 13:57:34 GMT 2024","Thu Aug 15 13:57:41 GMT 2024","6842","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Thu Aug 15 14:01:22 GMT 2024","Thu Aug 15 14:01:39 GMT 2024","17092","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__trinary_unique_key_list_no_update","even with three unique keys, adding distinct rows to seed does not
        cause seed and model to diverge"
