"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 07 16:34:41 GMT 2025","Mon Jul 07 16:34:44 GMT 2025","3641","tests.functional.adapter.utils","test_data_types","TestTypeInt","","","test_check_types_assert_match",""
"skipped","Mon Jul 07 16:31:54 GMT 2025","Mon Jul 07 16:31:54 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"passed","Mon Jul 07 16:31:29 GMT 2025","Mon Jul 07 16:31:32 GMT 2025","2731","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigKwargsFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Mon Jul 07 16:28:23 GMT 2025","Mon Jul 07 16:28:34 GMT 2025","10383","tests.functional.adapter","test_simple_copy","TestEmptyModelsArentRun","","","test_dbt_doesnt_run_empty_models",""
"passed","Mon Jul 07 16:23:12 GMT 2025","Mon Jul 07 16:23:17 GMT 2025","4961","tests.functional.adapter","test_basic","TestDocsGenReferencesFirebolt","","","test_references",""
"failed","Mon Jul 07 16:32:31 GMT 2025","Mon Jul 07 16:32:38 GMT 2025","6901","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"passed","Mon Jul 07 16:26:21 GMT 2025","Mon Jul 07 16:26:28 GMT 2025","6480","tests.functional.adapter","test_ephemeral","TestEphemeralMultiFirebolt","","","test_ephemeral_multi",""
"passed","Mon Jul 07 16:35:24 GMT 2025","Mon Jul 07 16:35:27 GMT 2025","3379","tests.functional.adapter.utils","test_utils","TestBoolOr","","","test_build_assert_equal",""
"passed","Mon Jul 07 16:31:23 GMT 2025","Mon Jul 07 16:31:26 GMT 2025","3168","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigWithCountFirebolt","","","test_pre_and_post_model_hooks_model_and_project",""
"passed","Mon Jul 07 16:26:11 GMT 2025","Mon Jul 07 16:26:11 GMT 2025","27","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_empty_target",""
"passed","Mon Jul 07 16:36:05 GMT 2025","Mon Jul 07 16:36:07 GMT 2025","2598","tests.functional.adapter.utils","test_utils","TestLastDay","","","test_build_assert_equal",""
