"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 12 08:35:06 GMT 2024","Thu Sep 12 08:35:15 GMT 2024","8596","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"passed","Thu Sep 12 08:33:53 GMT 2024","Thu Sep 12 08:33:56 GMT 2024","2865","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsFirebolt","","","test_hooks_on_seeds",""
"skipped","Thu Sep 12 08:35:05 GMT 2024","Thu Sep 12 08:35:05 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
"passed","Thu Sep 12 08:38:25 GMT 2024","Thu Sep 12 08:38:30 GMT 2024","4620","tests.functional.adapter.utils","test_data_types","TestTypeString","","","test_check_types_assert_match",""
"passed","Thu Sep 12 08:27:04 GMT 2024","Thu Sep 12 08:27:05 GMT 2024","847","tests.functional.adapter","test_basic","TestSingularTestsFirebolt","","","test_singular_tests",""
"passed","Thu Sep 12 08:27:19 GMT 2024","Thu Sep 12 08:27:19 GMT 2024","396","tests.functional.adapter","test_basic","TestEmptyFirebolt","","","test_empty",""
"passed","Thu Sep 12 08:39:22 GMT 2024","Thu Sep 12 08:39:24 GMT 2024","2550","tests.functional.adapter.utils","test_utils","TestDateDiff","","","test_build_assert_equal",""
"passed","Thu Sep 12 08:29:50 GMT 2024","Thu Sep 12 08:29:53 GMT 2024","2871","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"skipped","Thu Sep 12 08:40:24 GMT 2024","Thu Sep 12 08:40:24 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestArrayAppend","","","test_build_assert_equal",""
"skipped","Thu Sep 12 08:31:45 GMT 2024","Thu Sep 12 08:31:45 GMT 2024","0","tests.functional.adapter","test_grants","TestSeedGrantsFirebolt","","","test_seed_grants",""
"skipped","Thu Sep 12 08:40:24 GMT 2024","Thu Sep 12 08:40:24 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_expected_actual",""
"passed","Thu Sep 12 08:31:28 GMT 2024","Thu Sep 12 08:31:35 GMT 2024","7031","tests.functional.adapter","test_ephemeral","TestEphemeralMultiFirebolt","","","test_ephemeral_multi",""
"passed","Thu Sep 12 08:38:17 GMT 2024","Thu Sep 12 08:38:22 GMT 2024","4403","tests.functional.adapter.utils","test_data_types","TestTypeNumeric","","","test_check_types_assert_match",""
"passed","Thu Sep 12 08:40:59 GMT 2024","Thu Sep 12 08:41:00 GMT 2024","1864","tests.functional.adapter.utils","test_utils","TestGenerateSeries","","","test_build_assert_equal",""
"skipped","Thu Sep 12 08:35:05 GMT 2024","Thu Sep 12 08:35:05 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__bad_unique_key","expect compilation error from unique key not being a column"
"skipped","Thu Sep 12 08:33:26 GMT 2024","Thu Sep 12 08:33:26 GMT 2024","0","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsGeneric","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Thu Sep 12 08:38:41 GMT 2024","Thu Sep 12 08:38:46 GMT 2024","4492","tests.functional.adapter.utils","test_data_types","TestTypeBoolean","","","test_check_types_assert_match",""
"passed","Thu Sep 12 08:32:45 GMT 2024","Thu Sep 12 08:33:06 GMT 2024","21057","tests.functional.adapter","test_simple_copy","TestSimpleCopyBase","","","test_simple_copy",""
"passed","Thu Sep 12 08:40:53 GMT 2024","Thu Sep 12 08:40:53 GMT 2024","295","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_success","Executes validate_sql on valid SQL. No news is good news."
"skipped","Thu Sep 12 08:35:05 GMT 2024","Thu Sep 12 08:35:05 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"skipped","Thu Sep 12 08:39:33 GMT 2024","Thu Sep 12 08:39:33 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestEscapeSingleQuotes","","","test_build_assert_equal",""
"passed","Thu Sep 12 08:31:58 GMT 2024","Thu Sep 12 08:31:59 GMT 2024","731","tests.functional.adapter","test_limit","TestFireboltShowSqlHeader","","","test_sql_header",""
"skipped","Thu Sep 12 08:39:51 GMT 2024","Thu Sep 12 08:39:51 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestListagg","","","test_build_assert_equal",""
"passed","Thu Sep 12 08:36:00 GMT 2024","Thu Sep 12 08:36:13 GMT 2024","13114","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"passed","Thu Sep 12 08:37:52 GMT 2024","Thu Sep 12 08:37:58 GMT 2024","5844","tests.functional.adapter.utils","test_data_types","TestTypeBigInt","","","test_check_types_assert_match",""
"skipped","Thu Sep 12 08:31:18 GMT 2024","Thu Sep 12 08:31:18 GMT 2024","0","tests.functional.adapter","test_constraints","TestConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Thu Sep 12 08:40:43 GMT 2024","Thu Sep 12 08:40:45 GMT 2024","1664","tests.functional.adapter.utils","test_utils","TestFireboltNullCompare","","","test_build_assert_equal",""
"passed","Thu Sep 12 08:36:53 GMT 2024","Thu Sep 12 08:36:59 GMT 2024","6293","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__bad_unique_key_list","expect compilation error from unique key not being a column"
"skipped","Thu Sep 12 08:28:47 GMT 2024","Thu Sep 12 08:28:47 GMT 2024","0","tests.functional.adapter","test_clone","TestFireboltCloneNotPossible","","","test_can_clone_false",""
"passed","Thu Sep 12 08:40:54 GMT 2024","Thu Sep 12 08:40:55 GMT 2024","1633","tests.functional.adapter.utils","test_utils","TestDateSpine","","","test_build_assert_equal",""
"passed","Thu Sep 12 08:31:19 GMT 2024","Thu Sep 12 08:31:19 GMT 2024","33","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_wronguser",""
"passed","Thu Sep 12 08:34:08 GMT 2024","Thu Sep 12 08:34:11 GMT 2024","2906","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedWhitespaceFirebolt","","","test_hooks_on_seeds",""
"passed","Thu Sep 12 08:29:05 GMT 2024","Thu Sep 12 08:29:22 GMT 2024","17566","tests.functional.adapter","test_concurrency","TestConcurenncy","","","test_concurrency",""
"passed","Thu Sep 12 08:28:27 GMT 2024","Thu Sep 12 08:28:30 GMT 2024","3547","tests.functional.adapter","test_basic","TestDocsGenReferencesFirebolt","","","test_references",""
"passed","Thu Sep 12 08:30:23 GMT 2024","Thu Sep 12 08:30:24 GMT 2024","1079","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"passed","Thu Sep 12 08:28:47 GMT 2024","Thu Sep 12 08:28:55 GMT 2024","8188","tests.functional.adapter","test_clone","TestCloneSameTargetAndState","","","test_clone_same_target_and_state",""
"passed","Thu Sep 12 08:34:02 GMT 2024","Thu Sep 12 08:34:05 GMT 2024","3158","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","","","test_hooks_on_seeds",""
"passed","Thu Sep 12 08:36:16 GMT 2024","Thu Sep 12 08:36:26 GMT 2024","9189","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Thu Sep 12 08:37:20 GMT 2024","Thu Sep 12 08:37:48 GMT 2024","28070","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestingTypes","","","test_unit_test_data_type",""
"skipped","Thu Sep 12 08:33:26 GMT 2024","Thu Sep 12 08:33:26 GMT 2024","0","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsInteractions","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Thu Sep 12 08:30:50 GMT 2024","Thu Sep 12 08:30:52 GMT 2024","1803","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"skipped","Thu Sep 12 08:35:05 GMT 2024","Thu Sep 12 08:35:05 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Thu Sep 12 08:32:13 GMT 2024","Thu Sep 12 08:32:14 GMT 2024","1404","tests.functional.adapter","test_query_comment","TestQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Thu Sep 12 08:39:27 GMT 2024","Thu Sep 12 08:39:30 GMT 2024","2645","tests.functional.adapter.utils","test_utils","TestDateTrunc","","","test_build_assert_equal",""
"passed","Thu Sep 12 08:40:35 GMT 2024","Thu Sep 12 08:40:40 GMT 2024","4722","tests.functional.adapter.utils","test_utils","TestFireboltEquals","","","test_equal_values",""
"skipped","Thu Sep 12 08:33:06 GMT 2024","Thu Sep 12 08:33:06 GMT 2024","0","tests.functional.adapter","test_simple_copy","TestSimpleCopyBase","","","test_simple_copy_with_materialized_views",""
"passed","Thu Sep 12 08:34:56 GMT 2024","Thu Sep 12 08:35:03 GMT 2024","6557","tests.functional.adapter.incremental","test_incremental","TestIncrementalPredicatesDeleteInsertFirebolt","","","test__incremental_predicates","seed should match model after two incremental runs"
"passed","Thu Sep 12 08:39:57 GMT 2024","Thu Sep 12 08:39:59 GMT 2024","2720","tests.functional.adapter.utils","test_utils","TestReplace","","","test_build_assert_equal",""
"passed","Thu Sep 12 08:31:52 GMT 2024","Thu Sep 12 08:31:55 GMT 2024","3151","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args2-7]",""
"passed","Thu Sep 12 08:27:57 GMT 2024","Thu Sep 12 08:28:06 GMT 2024","8506","tests.functional.adapter","test_basic","TestBaseAdapterMethod","","","test_adapter_methods",""
"passed","Thu Sep 12 08:27:21 GMT 2024","Thu Sep 12 08:27:27 GMT 2024","5355","tests.functional.adapter","test_basic","TestEphemeralFirebolt","","","test_ephemeral",""
"passed","Thu Sep 12 08:39:39 GMT 2024","Thu Sep 12 08:39:42 GMT 2024","2607","tests.functional.adapter.utils","test_utils","TestLastDay","","","test_build_assert_equal",""
"skipped","Thu Sep 12 08:40:24 GMT 2024","Thu Sep 12 08:40:24 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_build_assert_equal",""
"passed","Thu Sep 12 08:30:53 GMT 2024","Thu Sep 12 08:31:01 GMT 2024","8628","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"skipped","Thu Sep 12 08:39:39 GMT 2024","Thu Sep 12 08:39:39 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestIntersect","","","test_build_assert_equal",""
"passed","Thu Sep 12 08:35:28 GMT 2024","Thu Sep 12 08:35:37 GMT 2024","9471","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
