"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 01 14:09:53 GMT 2024","Thu Aug 01 14:09:53 GMT 2024","0","tests.functional.adapter","test_basic","TestBaseAdapterMethod","","","test_adapter_methods",""
"skipped","Thu Aug 01 14:15:51 GMT 2024","Thu Aug 01 14:15:51 GMT 2024","0","tests.functional.adapter","test_grants","TestModelGrantsFirebolt","","","test_view_table_grants",""
"passed","Thu Aug 01 14:11:22 GMT 2024","Thu Aug 01 14:11:54 GMT 2024","31630","tests.functional.adapter","test_concurrency","TestConcurenncy","","","test_concurrency",""
"passed","Thu Aug 01 14:27:43 GMT 2024","Thu Aug 01 14:27:52 GMT 2024","9014","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__bad_unique_key_list","expect compilation error from unique key not being a column"
"passed","Thu Aug 01 14:29:49 GMT 2024","Thu Aug 01 14:29:54 GMT 2024","5228","tests.functional.adapter.utils","test_utils","TestConcat","","","test_build_assert_equal",""
"passed","Thu Aug 01 14:32:38 GMT 2024","Thu Aug 01 14:32:43 GMT 2024","4728","tests.functional.adapter.utils","test_utils","TestFireboltMixedNullCompare","","","test_build_assert_equal",""
"skipped","Thu Aug 01 14:25:40 GMT 2024","Thu Aug 01 14:25:40 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"passed","Thu Aug 01 14:26:59 GMT 2024","Thu Aug 01 14:27:15 GMT 2024","15411","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Thu Aug 01 14:16:32 GMT 2024","Thu Aug 01 14:16:33 GMT 2024","839","tests.functional.adapter","test_query_comment","TestMacroInvalidQueryCommentsFirebolt","","","test_run_assert_comments",""
"passed","Thu Aug 01 14:30:21 GMT 2024","Thu Aug 01 14:30:27 GMT 2024","5690","tests.functional.adapter.utils","test_utils","TestDateTrunc","","","test_build_assert_equal",""
"passed","Thu Aug 01 14:13:35 GMT 2024","Thu Aug 01 14:13:38 GMT 2024","3674","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"skipped","Thu Aug 01 14:11:03 GMT 2024","Thu Aug 01 14:11:03 GMT 2024","0","tests.functional.adapter","test_clone","TestFireboltCloneNotPossible","","","test_can_clone_false",""
"passed","Thu Aug 01 14:29:16 GMT 2024","Thu Aug 01 14:29:22 GMT 2024","6661","tests.functional.adapter.utils","test_utils","TestAnyValue","","","test_build_assert_equal",""
"passed","Thu Aug 01 14:10:04 GMT 2024","Thu Aug 01 14:10:11 GMT 2024","6966","tests.functional.adapter","test_basic","TestDocsGenerateFirebolt","","","test_run_and_generate",""
"passed","Thu Aug 01 14:32:47 GMT 2024","Thu Aug 01 14:32:48 GMT 2024","661","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_success","Executes validate_sql on valid SQL. No news is good news."
"passed","Thu Aug 01 14:21:41 GMT 2024","Thu Aug 01 14:22:57 GMT 2024","76963","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksUnderscoresFirebolt","","","test_pre_and_post_run_hooks",""
