"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 12:08:32 GMT 2024","Tue Sep 17 12:08:34 GMT 2024","1708","tests.functional.adapter","test_timestamps","TestCurrentTimestampFirebolt","","","test_current_timestamps",""
"passed","Tue Sep 17 12:05:15 GMT 2024","Tue Sep 17 12:05:18 GMT 2024","2996","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Tue Sep 17 12:16:03 GMT 2024","Tue Sep 17 12:16:08 GMT 2024","4545","tests.functional.adapter.utils","test_utils","TestDateDiff","","","test_build_assert_equal",""
"skipped","Tue Sep 17 12:10:34 GMT 2024","Tue Sep 17 12:10:34 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"skipped","Tue Sep 17 12:06:01 GMT 2024","Tue Sep 17 12:06:01 GMT 2024","0","tests.functional.adapter","test_constraints","TestConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Tue Sep 17 12:09:13 GMT 2024","Tue Sep 17 12:09:13 GMT 2024","128","tests.functional.adapter.hooks","test_model_hooks","TestHooksRefsOnSeedsFirebolt","","","test_hook_with_ref_on_seeds",""
"passed","Tue Sep 17 12:16:19 GMT 2024","Tue Sep 17 12:16:23 GMT 2024","4145","tests.functional.adapter.utils","test_utils","TestHash","","","test_build_assert_equal",""
"passed","Tue Sep 17 12:12:22 GMT 2024","Tue Sep 17 12:12:36 GMT 2024","13838","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
"passed","Tue Sep 17 12:15:23 GMT 2024","Tue Sep 17 12:15:30 GMT 2024","7255","tests.functional.adapter.utils","test_utils","TestAnyValue","","","test_build_assert_equal",""
"skipped","Tue Sep 17 12:10:34 GMT 2024","Tue Sep 17 12:10:34 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"passed","Tue Sep 17 12:09:53 GMT 2024","Tue Sep 17 12:09:58 GMT 2024","4819","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigWithCountFirebolt","","","test_pre_and_post_model_hooks_model_and_project",""
"passed","Tue Sep 17 12:06:02 GMT 2024","Tue Sep 17 12:06:08 GMT 2024","6072","tests.functional.adapter","test_empty","TestFireboltEmpty","","","test_run_with_empty",""
"passed","Tue Sep 17 12:08:38 GMT 2024","Tue Sep 17 12:08:44 GMT 2024","5328","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksFirebolt","","","test_pre_and_post_run_hooks",""
"passed","Tue Sep 17 12:03:28 GMT 2024","Tue Sep 17 12:03:54 GMT 2024","25252","tests.functional.adapter","test_concurrency","TestConcurrencyFirebolt","","","test_concurrency",""
"passed","Tue Sep 17 12:02:57 GMT 2024","Tue Sep 17 12:02:59 GMT 2024","2076","tests.functional.adapter","test_column_types","TestFireboltColumnTypes","","","test_run_and_test",""
"passed","Tue Sep 17 12:09:43 GMT 2024","Tue Sep 17 12:09:47 GMT 2024","3805","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Tue Sep 17 11:59:51 GMT 2024","Tue Sep 17 12:00:04 GMT 2024","12314","tests.functional.adapter","test_basic","TestIncrementalFirebolt","","","test_incremental",""
"passed","Tue Sep 17 12:06:53 GMT 2024","Tue Sep 17 12:06:57 GMT 2024","4094","tests.functional.adapter","test_materialized_views","TestMaterializedViews","","","test_singular_tests",""
"passed","Tue Sep 17 12:10:34 GMT 2024","Tue Sep 17 12:10:45 GMT 2024","10951","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"passed","Tue Sep 17 12:06:02 GMT 2024","Tue Sep 17 12:06:02 GMT 2024","34","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_empty_target",""
"passed","Tue Sep 17 12:04:02 GMT 2024","Tue Sep 17 12:04:11 GMT 2024","8702","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"skipped","Tue Sep 17 12:10:34 GMT 2024","Tue Sep 17 12:10:34 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Tue Sep 17 12:09:06 GMT 2024","Tue Sep 17 12:09:10 GMT 2024","4164","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsFirebolt","","","test_hooks_on_seeds",""
"passed","Tue Sep 17 12:12:56 GMT 2024","Tue Sep 17 12:13:08 GMT 2024","12495","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__bad_unique_key_list","expect compilation error from unique key not being a column"
"skipped","Tue Sep 17 12:06:32 GMT 2024","Tue Sep 17 12:06:32 GMT 2024","0","tests.functional.adapter","test_grants","TestIncrementalGrantsFirebolt","","","test_incremental_grants",""
"passed","Tue Sep 17 12:10:04 GMT 2024","Tue Sep 17 12:10:06 GMT 2024","2699","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigKwargsFirebolt","","","test_pre_and_post_model_hooks_model",""
"skipped","Tue Sep 17 12:02:44 GMT 2024","Tue Sep 17 12:02:44 GMT 2024","0","tests.functional.adapter","test_clone","TestFireboltCloneNotPossible","","","test_can_clone_false",""
