"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 18:49:20 GMT 2025","Thu Jul 24 18:49:20 GMT 2025","665","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_success","Executes validate_sql on valid SQL. No news is good news."
"passed","Thu Jul 24 18:43:39 GMT 2025","Thu Jul 24 18:43:47 GMT 2025","8275","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestInvalidInput","","","test_invalid_input",""
"passed","Thu Jul 24 18:31:51 GMT 2025","Thu Jul 24 18:32:14 GMT 2025","22639","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"skipped","Thu Jul 24 18:32:18 GMT 2025","Thu Jul 24 18:32:18 GMT 2025","0","tests.functional.adapter","test_constraints","TestConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Thu Jul 24 18:45:07 GMT 2025","Thu Jul 24 18:45:13 GMT 2025","6844","tests.functional.adapter.utils","test_data_types","TestTypeInt","","","test_check_types_assert_match",""
"passed","Thu Jul 24 18:44:45 GMT 2025","Thu Jul 24 18:44:51 GMT 2025","5885","tests.functional.adapter.utils","test_data_types","TestTypeBigInt","","","test_check_types_assert_match",""
"passed","Thu Jul 24 18:24:53 GMT 2025","Thu Jul 24 18:25:04 GMT 2025","10863","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
"passed","Thu Jul 24 18:45:18 GMT 2025","Thu Jul 24 18:45:24 GMT 2025","5893","tests.functional.adapter.utils","test_data_types","TestTypeNumeric","","","test_check_types_assert_match",""
"passed","Thu Jul 24 18:38:25 GMT 2025","Thu Jul 24 18:38:29 GMT 2025","4496","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksUnderscoresFirebolt","","","test_pre_and_post_run_hooks",""
"passed","Thu Jul 24 18:31:34 GMT 2025","Thu Jul 24 18:31:51 GMT 2025","17062","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Thu Jul 24 18:30:47 GMT 2025","Thu Jul 24 18:31:04 GMT 2025","17113","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Thu Jul 24 18:36:18 GMT 2025","Thu Jul 24 18:36:27 GMT 2025","8685","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsProjectLevelOff","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Thu Jul 24 18:39:02 GMT 2025","Thu Jul 24 18:39:06 GMT 2025","4405","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","","","test_hooks_on_seeds",""
"passed","Thu Jul 24 18:46:23 GMT 2025","Thu Jul 24 18:46:26 GMT 2025","3144","tests.functional.adapter.utils","test_utils","TestCastBoolToText","","","test_build_assert_equal",""
"passed","Thu Jul 24 18:49:11 GMT 2025","Thu Jul 24 18:49:15 GMT 2025","4626","tests.functional.adapter.utils","test_utils","TestFireboltMixedNullCompare","","","test_build_assert_equal",""
"passed","Thu Jul 24 18:48:13 GMT 2025","Thu Jul 24 18:48:16 GMT 2025","3407","tests.functional.adapter.utils","test_utils","TestStringLiteral","","","test_build_assert_equal",""
"passed","Thu Jul 24 18:23:43 GMT 2025","Thu Jul 24 18:23:45 GMT 2025","1897","tests.functional.adapter","test_basic","TestSingularTestsFirebolt","","","test_singular_tests",""
"passed","Thu Jul 24 18:37:31 GMT 2025","Thu Jul 24 18:37:37 GMT 2025","6772","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsProjectLevelEphemeral","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Thu Jul 24 18:49:20 GMT 2025","Thu Jul 24 18:49:21 GMT 2025","662","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_failure","Executes validate_sql on invalid SQL, expecting the exception."
"passed","Thu Jul 24 18:27:18 GMT 2025","Thu Jul 24 18:27:26 GMT 2025","7493","tests.functional.adapter","test_basic","TestDocsGenerateFirebolt","","","test_run_and_generate",""
"failed","Thu Jul 24 18:42:26 GMT 2025","Thu Jul 24 18:42:40 GMT 2025","14766","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Thu Jul 24 18:39:33 GMT 2025","Thu Jul 24 18:39:37 GMT 2025","4384","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Thu Jul 24 18:34:01 GMT 2025","Thu Jul 24 18:34:03 GMT 2025","2584","tests.functional.adapter","test_query_comment","TestMacroArgsQueryCommentsFirebolt","","","test_matches_comment",""
"failed","Thu Jul 24 18:41:05 GMT 2025","Thu Jul 24 18:41:19 GMT 2025","13963","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"passed","Thu Jul 24 18:29:56 GMT 2025","Thu Jul 24 18:29:59 GMT 2025","2429","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"passed","Thu Jul 24 18:24:16 GMT 2025","Thu Jul 24 18:24:25 GMT 2025","9267","tests.functional.adapter","test_basic","TestEphemeralFirebolt","","","test_ephemeral",""
"passed","Thu Jul 24 18:48:34 GMT 2025","Thu Jul 24 18:48:40 GMT 2025","5853","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_expected_actual",""
"passed","Thu Jul 24 18:38:04 GMT 2025","Thu Jul 24 18:38:07 GMT 2025","3150","tests.functional.adapter","test_timestamps","TestCurrentTimestampFirebolt","","","test_current_timestamps",""
"passed","Thu Jul 24 18:40:35 GMT 2025","Thu Jul 24 18:40:43 GMT 2025","8037","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__bad_unique_key","expect compilation error from unique key not being a column"
