"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 27 14:53:49 GMT 2024","Tue Aug 27 14:53:49 GMT 2024","0","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsInteractions","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Tue Aug 27 15:00:39 GMT 2024","Tue Aug 27 15:00:39 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestCurrentTimestamp","","","test_current_timestamp_type",""
"skipped","Tue Aug 27 15:00:29 GMT 2024","Tue Aug 27 15:00:29 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestSplitPart","","","test_build_assert_equal",""
"passed","Tue Aug 27 14:49:17 GMT 2024","Tue Aug 27 14:49:35 GMT 2024","18016","tests.functional.adapter","test_concurrency","TestConcurenncy","","","test_concurrency",""
"skipped","Tue Aug 27 15:00:42 GMT 2024","Tue Aug 27 15:00:42 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_expected_actual",""
"passed","Tue Aug 27 14:59:58 GMT 2024","Tue Aug 27 15:00:01 GMT 2024","3704","tests.functional.adapter.utils","test_utils","TestPosition","","","test_build_assert_equal",""
"passed","Tue Aug 27 14:54:49 GMT 2024","Tue Aug 27 14:54:54 GMT 2024","4905","tests.functional.adapter.hooks","test_model_hooks","TestHookRefsFirebolt","","","test_pre_post_model_hooks_refed",""
"skipped","Tue Aug 27 14:51:51 GMT 2024","Tue Aug 27 14:51:51 GMT 2024","0","tests.functional.adapter","test_grants","TestModelGrantsFirebolt","","","test_view_table_grants",""
"skipped","Tue Aug 27 14:51:30 GMT 2024","Tue Aug 27 14:51:30 GMT 2024","0","tests.functional.adapter","test_constraints","TestModelConstraintsRuntimeEnforcementFirebolt","","","test__model_constraints_ddl",""
"passed","Tue Aug 27 14:55:24 GMT 2024","Tue Aug 27 14:55:29 GMT 2024","4940","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSnapshotsFirebolt","","","test_hooks_on_snapshots",""
"passed","Tue Aug 27 15:00:47 GMT 2024","Tue Aug 27 15:00:51 GMT 2024","4319","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_expected_actual",""
"passed","Tue Aug 27 14:57:07 GMT 2024","Tue Aug 27 14:57:16 GMT 2024","9076","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Tue Aug 27 14:58:29 GMT 2024","Tue Aug 27 14:58:33 GMT 2024","4291","tests.functional.adapter.utils","test_data_types","TestTypeTimestamp","","","test_check_types_assert_match",""
"passed","Tue Aug 27 14:59:49 GMT 2024","Tue Aug 27 14:59:53 GMT 2024","3678","tests.functional.adapter.utils","test_utils","TestLength","","","test_build_assert_equal",""
"passed","Tue Aug 27 14:59:10 GMT 2024","Tue Aug 27 14:59:13 GMT 2024","3364","tests.functional.adapter.utils","test_utils","TestDateAdd","","","test_build_assert_equal",""
