"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 09:54:38 GMT 2024","Wed Sep 11 09:54:38 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestCurrentTimestamp","","","test_current_timestamp_matches_utc",""
"passed","Wed Sep 11 09:54:27 GMT 2024","Wed Sep 11 09:54:30 GMT 2024","2332","tests.functional.adapter.utils","test_utils","TestSafeCast","","","test_build_assert_equal",""
"passed","Wed Sep 11 09:41:53 GMT 2024","Wed Sep 11 09:42:05 GMT 2024","12052","tests.functional.adapter","test_basic","TestSnapshotTimestampFirebolt","","","test_snapshot_timestamp",""
"passed","Wed Sep 11 09:54:38 GMT 2024","Wed Sep 11 09:54:38 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestCurrentTimestamp","","","test_current_timestamp_type",""
"skipped","Wed Sep 11 09:45:18 GMT 2024","Wed Sep 11 09:45:18 GMT 2024","0","tests.functional.adapter","test_constraints","TestConstraintsRuntimeDdlEnforcementFirebolt","","","test__constraints_ddl",""
"skipped","Wed Sep 11 09:45:18 GMT 2024","Wed Sep 11 09:45:18 GMT 2024","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRuntimeDdlEnforcementFirebolt","","","test__constraints_ddl",""
"passed","Wed Sep 11 09:45:47 GMT 2024","Wed Sep 11 09:45:50 GMT 2024","2970","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args1-3]",""
"passed","Wed Sep 11 09:54:56 GMT 2024","Wed Sep 11 09:54:58 GMT 2024","1602","tests.functional.adapter.utils","test_utils","TestFireboltNullCompare","","","test_build_assert_equal",""
"passed","Wed Sep 11 09:50:19 GMT 2024","Wed Sep 11 09:50:25 GMT 2024","5925","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"passed","Wed Sep 11 09:42:59 GMT 2024","Wed Sep 11 09:43:07 GMT 2024","8669","tests.functional.adapter","test_clone","TestCloneSameTargetAndState","","","test_clone_same_target_and_state",""
"passed","Wed Sep 11 09:43:59 GMT 2024","Wed Sep 11 09:44:08 GMT 2024","9479","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Wed Sep 11 09:53:56 GMT 2024","Wed Sep 11 09:53:58 GMT 2024","2362","tests.functional.adapter.utils","test_utils","TestHash","","","test_build_assert_equal",""
