"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 31 12:26:39 GMT 2025","Thu Jul 31 12:26:41 GMT 2025","2572","tests.functional.adapter.utils","test_utils","TestSafeCast","","","test_build_assert_equal",""
"passed","Thu Jul 31 12:22:48 GMT 2025","Thu Jul 31 12:22:57 GMT 2025","9065","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"passed","Thu Jul 31 12:15:42 GMT 2025","Thu Jul 31 12:15:44 GMT 2025","1894","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Thu Jul 31 12:15:44 GMT 2025","Thu Jul 31 12:15:46 GMT 2025","1369","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"skipped","Thu Jul 31 12:16:40 GMT 2025","Thu Jul 31 12:16:40 GMT 2025","0","tests.functional.adapter","test_grants","TestModelGrantsFirebolt","","","test_view_table_grants",""
"passed","Thu Jul 31 12:19:08 GMT 2025","Thu Jul 31 12:19:12 GMT 2025","4333","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsProjectLevelView","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Thu Jul 31 12:23:51 GMT 2025","Thu Jul 31 12:24:20 GMT 2025","29029","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestingTypes","","","test_unit_test_data_type",""
"passed","Thu Jul 31 12:26:00 GMT 2025","Thu Jul 31 12:26:05 GMT 2025","5517","tests.functional.adapter.utils","test_utils","TestHash","","","test_build_assert_equal",""
"passed","Thu Jul 31 12:21:14 GMT 2025","Thu Jul 31 12:21:17 GMT 2025","3254","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigKwargsFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Thu Jul 31 12:16:14 GMT 2025","Thu Jul 31 12:16:21 GMT 2025","7172","tests.functional.adapter","test_empty","TestFireboltEmpty","","","test_run_with_empty",""
"passed","Thu Jul 31 12:12:57 GMT 2025","Thu Jul 31 12:13:01 GMT 2025","3857","tests.functional.adapter","test_basic","TestDocsGenReferencesFirebolt","","","test_references",""
"passed","Thu Jul 31 12:27:34 GMT 2025","Thu Jul 31 12:27:36 GMT 2025","1917","tests.functional.adapter.utils","test_utils","TestGetIntervalsBeteween","","","test_build_assert_equal",""
"passed","Thu Jul 31 12:18:24 GMT 2025","Thu Jul 31 12:18:38 GMT 2025","14178","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsInteractions","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Thu Jul 31 12:16:13 GMT 2025","Thu Jul 31 12:16:13 GMT 2025","431","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_connection_flag","
        Testing that the --connection flag works as expected,
        including that output is not lost
        "
"passed","Thu Jul 31 12:21:20 GMT 2025","Thu Jul 31 12:21:24 GMT 2025","4474","tests.functional.adapter.hooks","test_model_hooks","TestPrePostSnapshotHooksInConfigKwargsFirebolt","","","test_hooks_on_snapshots",""
"passed","Thu Jul 31 12:20:36 GMT 2025","Thu Jul 31 12:20:36 GMT 2025","149","tests.functional.adapter.hooks","test_model_hooks","TestHooksRefsOnSeedsFirebolt","","","test_hook_with_ref_on_seeds",""
"passed","Thu Jul 31 12:23:23 GMT 2025","Thu Jul 31 12:23:31 GMT 2025","8343","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__trinary_unique_key_list_no_update","even with three unique keys, adding distinct rows to seed does not
        cause seed and model to diverge"
"passed","Thu Jul 31 12:27:29 GMT 2025","Thu Jul 31 12:27:31 GMT 2025","2021","tests.functional.adapter.utils","test_utils","TestGenerateSeries","","","test_build_assert_equal",""
"passed","Thu Jul 31 12:12:24 GMT 2025","Thu Jul 31 12:12:33 GMT 2025","9021","tests.functional.adapter","test_basic","TestBaseAdapterMethod","","","test_adapter_methods",""
"skipped","Thu Jul 31 12:21:40 GMT 2025","Thu Jul 31 12:21:40 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"skipped","Thu Jul 31 12:16:40 GMT 2025","Thu Jul 31 12:16:40 GMT 2025","0","tests.functional.adapter","test_grants","TestIncrementalGrantsFirebolt","","","test_incremental_grants",""
"passed","Thu Jul 31 12:12:02 GMT 2025","Thu Jul 31 12:12:17 GMT 2025","14410","tests.functional.adapter","test_basic","TestSnapshotTimestampFirebolt","","","test_snapshot_timestamp",""
"skipped","Thu Jul 31 12:21:40 GMT 2025","Thu Jul 31 12:21:40 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Thu Jul 31 12:26:51 GMT 2025","Thu Jul 31 12:26:51 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestCurrentTimestamp","","","test_current_timestamp_type",""
"passed","Thu Jul 31 12:20:07 GMT 2025","Thu Jul 31 12:20:09 GMT 2025","2749","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksFirebolt","","","test_pre_and_post_run_hooks",""
"passed","Thu Jul 31 12:10:34 GMT 2025","Thu Jul 31 12:10:39 GMT 2025","5199","tests.functional.adapter","test_basic","TestSingularTestsEphemeralFirebolt","","","test_singular_tests_ephemeral",""
"passed","Thu Jul 31 12:20:29 GMT 2025","Thu Jul 31 12:20:33 GMT 2025","4177","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsFirebolt","","","test_hooks_on_seeds",""
"passed","Thu Jul 31 12:20:45 GMT 2025","Thu Jul 31 12:20:49 GMT 2025","3541","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedWhitespaceFirebolt","","","test_hooks_on_seeds",""
"passed","Thu Jul 31 12:26:44 GMT 2025","Thu Jul 31 12:26:46 GMT 2025","1880","tests.functional.adapter.utils","test_utils","TestStringLiteral","","","test_build_assert_equal",""
"skipped","Thu Jul 31 12:25:59 GMT 2025","Thu Jul 31 12:25:59 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestEscapeSingleQuotes","","","test_build_assert_equal",""
"passed","Thu Jul 31 12:16:47 GMT 2025","Thu Jul 31 12:16:50 GMT 2025","3192","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args2-7]",""
"skipped","Thu Jul 31 12:13:05 GMT 2025","Thu Jul 31 12:13:05 GMT 2025","0","tests.functional.adapter","test_basic","TestIncrementalNotSchemaChange","","","test_incremental_not_schema_change",""
"passed","Thu Jul 31 12:13:15 GMT 2025","Thu Jul 31 12:13:22 GMT 2025","7033","tests.functional.adapter","test_basic","TestFireboltCorrectTypeMaterialisation","","","test_table_type_based_on_is_firebolt_core",""
"skipped","Thu Jul 31 12:26:08 GMT 2025","Thu Jul 31 12:26:08 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestIntersect","","","test_build_assert_equal",""
"passed","Thu Jul 31 12:16:13 GMT 2025","Thu Jul 31 12:16:13 GMT 2025","25","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_wronguser",""
"skipped","Thu Jul 31 12:26:53 GMT 2025","Thu Jul 31 12:26:53 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayAppend","","","test_build_assert_equal",""
"passed","Thu Jul 31 12:22:03 GMT 2025","Thu Jul 31 12:22:13 GMT 2025","10147","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"skipped","Thu Jul 31 12:26:20 GMT 2025","Thu Jul 31 12:26:20 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestListagg","","","test_build_assert_equal",""
"skipped","Thu Jul 31 12:16:12 GMT 2025","Thu Jul 31 12:16:12 GMT 2025","0","tests.functional.adapter","test_constraints","TestConstraintsRuntimeDdlEnforcementFirebolt","","","test__constraints_ddl",""
