"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 31 15:57:09 GMT 2024","Wed Jul 31 15:57:10 GMT 2024","1335","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_success","Executes validate_sql on valid SQL. No news is good news."
"failed","Wed Jul 31 15:43:45 GMT 2024","Wed Jul 31 15:43:51 GMT 2024","6175","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"failed","Wed Jul 31 15:50:41 GMT 2024","Wed Jul 31 15:50:51 GMT 2024","9869","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"skipped","Wed Jul 31 15:50:30 GMT 2024","Wed Jul 31 15:50:30 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"broken","Wed Jul 31 15:46:08 GMT 2024","Wed Jul 31 15:46:14 GMT 2024","5801","tests.functional.adapter","test_query_comment","TestMacroQueryCommentsFirebolt","","","test_matches_comment",""
"broken","Wed Jul 31 15:47:21 GMT 2024","Wed Jul 31 15:47:30 GMT 2024","9167","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksFirebolt","","","test_pre_and_post_run_hooks",""
"failed","Wed Jul 31 15:46:58 GMT 2024","Wed Jul 31 15:47:04 GMT 2024","5814","tests.functional.adapter","test_simple_copy","TestEmptyModelsArentRun","","","test_dbt_doesnt_run_empty_models",""
"skipped","Wed Jul 31 15:45:09 GMT 2024","Wed Jul 31 15:45:09 GMT 2024","0","tests.functional.adapter","test_constraints","TestConstraintQuotedColumnFirebolt","","","test__constraints_ddl",""
"broken","Wed Jul 31 15:48:37 GMT 2024","Wed Jul 31 15:48:45 GMT 2024","8735","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedWhitespaceFirebolt","","","test_hooks_on_seeds",""
"failed","Wed Jul 31 15:52:19 GMT 2024","Wed Jul 31 15:52:27 GMT 2024","7551","tests.functional.adapter.utils","test_data_types","TestTypeNumeric","","","test_check_types_assert_match",""
"broken","Wed Jul 31 15:45:25 GMT 2024","Wed Jul 31 15:45:35 GMT 2024","10823","tests.functional.adapter","test_grants","TestGrantsFailWithException","","","test_view_table_grants",""
"skipped","Wed Jul 31 15:38:56 GMT 2024","Wed Jul 31 15:38:56 GMT 2024","0","tests.functional.adapter","test_basic","TestSnapshotCheckColsFirebolt","","","test_snapshot_check_cols",""
"broken","Wed Jul 31 15:55:46 GMT 2024","Wed Jul 31 15:55:53 GMT 2024","6812","tests.functional.adapter.utils","test_utils","TestStringLiteral","","","test_build_assert_equal",""
"passed","Wed Jul 31 15:42:29 GMT 2024","Wed Jul 31 15:43:03 GMT 2024","33158","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Wed Jul 31 15:42:19 GMT 2024","Wed Jul 31 15:42:25 GMT 2024","6002","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"broken","Wed Jul 31 15:49:39 GMT 2024","Wed Jul 31 15:49:48 GMT 2024","8830","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigKwargsFirebolt","","","test_pre_and_post_model_hooks_model",""
"skipped","Wed Jul 31 15:45:37 GMT 2024","Wed Jul 31 15:45:37 GMT 2024","0","tests.functional.adapter","test_grants","TestSeedGrantsFirebolt","","","test_seed_grants",""
"failed","Wed Jul 31 15:40:44 GMT 2024","Wed Jul 31 15:40:50 GMT 2024","5607","tests.functional.adapter","test_concurrency","TestConcurrencyFirebolt","","","test_concurrency",""
"skipped","Wed Jul 31 15:50:30 GMT 2024","Wed Jul 31 15:50:30 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"broken","Wed Jul 31 15:47:52 GMT 2024","Wed Jul 31 15:48:04 GMT 2024","12630","tests.functional.adapter.hooks","test_model_hooks","TestHookRefsFirebolt","","","test_pre_post_model_hooks_refed",""
