"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 14:55:55 GMT 2024","Mon Sep 02 14:55:57 GMT 2024","1856","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"skipped","Mon Sep 02 15:05:17 GMT 2024","Mon Sep 02 15:05:17 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestExcept","","","test_build_assert_equal",""
"passed","Mon Sep 02 15:01:20 GMT 2024","Mon Sep 02 15:01:20 GMT 2024","256","tests.functional.adapter.hooks","test_model_hooks","TestDuplicateHooksInConfigsFirebolt","","","test_run_duplicate_hook_defs",""
"skipped","Mon Sep 02 15:01:32 GMT 2024","Mon Sep 02 15:01:32 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__bad_unique_key_list","expect compilation error from unique key not being a column"
"passed","Mon Sep 02 14:56:43 GMT 2024","Mon Sep 02 14:56:46 GMT 2024","3187","tests.functional.adapter","test_grants","TestGrantsFailWithException","","","test_view_table_grants",""
"passed","Mon Sep 02 15:00:05 GMT 2024","Mon Sep 02 15:00:07 GMT 2024","1839","tests.functional.adapter","test_timestamps","TestCurrentTimestampFirebolt","","","test_current_timestamps",""
"skipped","Mon Sep 02 15:04:37 GMT 2024","Mon Sep 02 15:04:37 GMT 2024","0","tests.functional.adapter.utils","test_data_types","TestTypeBoolean","","","test_check_types_assert_match",""
"passed","Mon Sep 02 14:52:36 GMT 2024","Mon Sep 02 14:52:37 GMT 2024","996","tests.functional.adapter","test_basic","TestSingularTestsFirebolt","","","test_singular_tests",""
"passed","Mon Sep 02 15:06:27 GMT 2024","Mon Sep 02 15:06:29 GMT 2024","2135","tests.functional.adapter.utils","test_utils","TestFireboltMixedNullCompare","","","test_build_assert_equal",""
"skipped","Mon Sep 02 14:53:29 GMT 2024","Mon Sep 02 14:53:29 GMT 2024","0","tests.functional.adapter","test_basic","TestBaseAdapterMethod","","","test_adapter_methods",""
"passed","Mon Sep 02 14:57:01 GMT 2024","Mon Sep 02 14:57:02 GMT 2024","908","tests.functional.adapter","test_limit","TestFireboltShowSqlHeader","","","test_sql_header",""
"passed","Mon Sep 02 15:00:11 GMT 2024","Mon Sep 02 15:00:13 GMT 2024","2313","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksFirebolt","","","test_pre_and_post_run_hooks",""
"skipped","Mon Sep 02 14:53:29 GMT 2024","Mon Sep 02 14:53:29 GMT 2024","0","tests.functional.adapter","test_basic","TestSnapshotCheckColsFirebolt","","","test_snapshot_check_cols",""
"passed","Mon Sep 02 15:00:38 GMT 2024","Mon Sep 02 15:00:40 GMT 2024","2324","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","","","test_hooks_on_seeds",""
