"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 13:32:41 GMT 2024","Fri Aug 23 13:32:44 GMT 2024","3274","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args0-5]",""
"passed","Fri Aug 23 13:37:02 GMT 2024","Fri Aug 23 13:37:06 GMT 2024","4170","tests.functional.adapter.hooks","test_model_hooks","TestPrePostSnapshotHooksInConfigKwargsFirebolt","","","test_hooks_on_snapshots",""
"passed","Fri Aug 23 13:33:15 GMT 2024","Fri Aug 23 13:33:16 GMT 2024","1572","tests.functional.adapter","test_query_comment","TestMacroQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Fri Aug 23 13:42:08 GMT 2024","Fri Aug 23 13:42:10 GMT 2024","2009","tests.functional.adapter.utils","test_utils","TestDateSpine","","","test_build_assert_equal",""
"passed","Fri Aug 23 13:40:51 GMT 2024","Fri Aug 23 13:40:54 GMT 2024","2731","tests.functional.adapter.utils","test_utils","TestLength","","","test_build_assert_equal",""
"passed","Fri Aug 23 13:40:18 GMT 2024","Fri Aug 23 13:40:21 GMT 2024","2993","tests.functional.adapter.utils","test_utils","TestDateAdd","","","test_build_assert_equal",""
"skipped","Fri Aug 23 13:37:21 GMT 2024","Fri Aug 23 13:37:21 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"passed","Fri Aug 23 13:32:58 GMT 2024","Fri Aug 23 13:33:01 GMT 2024","3307","tests.functional.adapter","test_materialized_views","TestMaterializedViews","","","test_singular_tests",""
"passed","Fri Aug 23 13:32:23 GMT 2024","Fri Aug 23 13:32:24 GMT 2024","359","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_connection_flag","
        Testing that the --connection flag works as expected,
        including that output is not lost
        "
"passed","Fri Aug 23 13:39:45 GMT 2024","Fri Aug 23 13:39:48 GMT 2024","3583","tests.functional.adapter.utils","test_data_types","TestTypeTimestamp","","","test_check_types_assert_match",""
"skipped","Fri Aug 23 13:32:22 GMT 2024","Fri Aug 23 13:32:22 GMT 2024","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Fri Aug 23 13:40:25 GMT 2024","Fri Aug 23 13:40:28 GMT 2024","2777","tests.functional.adapter.utils","test_utils","TestDateDiff","","","test_build_assert_equal",""
"passed","Fri Aug 23 13:32:24 GMT 2024","Fri Aug 23 13:32:24 GMT 2024","30","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_empty_target",""
"failed","Fri Aug 23 13:33:20 GMT 2024","Fri Aug 23 13:33:21 GMT 2024","1506","tests.functional.adapter","test_query_comment","TestMacroArgsQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Fri Aug 23 13:34:21 GMT 2024","Fri Aug 23 13:34:34 GMT 2024","12510","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsInteractions","","","test_tests_run_successfully_and_are_stored_as_expected",""
"skipped","Fri Aug 23 13:37:21 GMT 2024","Fri Aug 23 13:37:21 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Fri Aug 23 13:41:55 GMT 2024","Fri Aug 23 13:41:57 GMT 2024","1981","tests.functional.adapter.utils","test_utils","TestFireboltNullCompare","","","test_build_assert_equal",""
"skipped","Fri Aug 23 13:41:36 GMT 2024","Fri Aug 23 13:41:36 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestArrayAppend","","","test_expected_actual",""
"skipped","Fri Aug 23 13:32:22 GMT 2024","Fri Aug 23 13:32:22 GMT 2024","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRuntimeDdlEnforcementFirebolt","","","test__constraints_ddl",""
"skipped","Fri Aug 23 13:32:41 GMT 2024","Fri Aug 23 13:32:41 GMT 2024","0","tests.functional.adapter","test_grants","TestInvalidGrantsFirebolt","","","test_invalid_grants",""
"skipped","Fri Aug 23 13:40:38 GMT 2024","Fri Aug 23 13:40:38 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestEscapeSingleQuotes","","","test_build_assert_equal",""
"skipped","Fri Aug 23 13:32:22 GMT 2024","Fri Aug 23 13:32:22 GMT 2024","0","tests.functional.adapter","test_constraints","TestConstraintsRuntimeDdlEnforcementFirebolt","","","test__constraints_ddl",""
"passed","Fri Aug 23 13:32:23 GMT 2024","Fri Aug 23 13:32:23 GMT 2024","355","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_ok",""
"passed","Fri Aug 23 13:36:05 GMT 2024","Fri Aug 23 13:36:09 GMT 2024","3805","tests.functional.adapter.hooks","test_model_hooks","TestHookRefsFirebolt","","","test_pre_post_model_hooks_refed",""
"passed","Fri Aug 23 13:40:06 GMT 2024","Fri Aug 23 13:40:09 GMT 2024","2044","tests.functional.adapter.utils","test_utils","TestCastBoolToText","","","test_build_assert_equal",""
"skipped","Fri Aug 23 13:41:36 GMT 2024","Fri Aug 23 13:41:36 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_expected_actual",""
"passed","Fri Aug 23 13:30:04 GMT 2024","Fri Aug 23 13:30:06 GMT 2024","2597","tests.functional.adapter","test_column_types","TestFireboltColumnTypes","","","test_run_and_test",""
"passed","Fri Aug 23 13:27:52 GMT 2024","Fri Aug 23 13:28:09 GMT 2024","17328","tests.functional.adapter","test_basic","TestSimpleMaterializationsFirebolt","","","test_base",""
"passed","Fri Aug 23 13:29:49 GMT 2024","Fri Aug 23 13:29:58 GMT 2024","9505","tests.functional.adapter","test_clone","TestCloneSameTargetAndState","","","test_clone_same_target_and_state",""
"passed","Fri Aug 23 13:30:54 GMT 2024","Fri Aug 23 13:30:55 GMT 2024","1382","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"skipped","Fri Aug 23 13:29:08 GMT 2024","Fri Aug 23 13:29:08 GMT 2024","0","tests.functional.adapter","test_basic","TestSnapshotCheckColsFirebolt","","","test_snapshot_check_cols",""
"passed","Fri Aug 23 13:31:53 GMT 2024","Fri Aug 23 13:31:55 GMT 2024","2064","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Fri Aug 23 13:40:58 GMT 2024","Fri Aug 23 13:41:01 GMT 2024","2721","tests.functional.adapter.utils","test_utils","TestPosition","","","test_build_assert_equal",""
"passed","Fri Aug 23 13:41:36 GMT 2024","Fri Aug 23 13:41:39 GMT 2024","2521","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_build_assert_equal",""
"skipped","Fri Aug 23 13:29:37 GMT 2024","Fri Aug 23 13:29:37 GMT 2024","0","tests.functional.adapter","test_basic","TestIncrementalNotSchemaChange","","","test_incremental_not_schema_change",""
"passed","Fri Aug 23 13:40:45 GMT 2024","Fri Aug 23 13:40:47 GMT 2024","2731","tests.functional.adapter.utils","test_utils","TestLastDay","","","test_build_assert_equal",""
"passed","Fri Aug 23 13:39:23 GMT 2024","Fri Aug 23 13:39:27 GMT 2024","3823","tests.functional.adapter.utils","test_data_types","TestTypeInt","","","test_check_types_assert_match",""
"skipped","Fri Aug 23 13:32:41 GMT 2024","Fri Aug 23 13:32:41 GMT 2024","0","tests.functional.adapter","test_grants","TestSeedGrantsFirebolt","","","test_seed_grants",""
"passed","Fri Aug 23 13:38:22 GMT 2024","Fri Aug 23 13:38:32 GMT 2024","9284","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"skipped","Fri Aug 23 13:32:41 GMT 2024","Fri Aug 23 13:32:41 GMT 2024","0","tests.functional.adapter","test_grants","TestIncrementalGrantsFirebolt","","","test_incremental_grants",""
"passed","Fri Aug 23 13:39:38 GMT 2024","Fri Aug 23 13:39:41 GMT 2024","3714","tests.functional.adapter.utils","test_data_types","TestTypeString","","","test_check_types_assert_match",""
"passed","Fri Aug 23 13:36:22 GMT 2024","Fri Aug 23 13:36:25 GMT 2024","2793","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","","","test_hooks_on_seeds",""
"passed","Fri Aug 23 13:41:39 GMT 2024","Fri Aug 23 13:41:43 GMT 2024","3686","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_expected_actual",""
"passed","Fri Aug 23 13:38:01 GMT 2024","Fri Aug 23 13:38:08 GMT 2024","6771","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
