"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 15:52:36 GMT 2024","Mon Sep 02 15:52:37 GMT 2024","284","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_connection_flag","
        Testing that the --connection flag works as expected,
        including that output is not lost
        "
"passed","Mon Sep 02 15:50:29 GMT 2024","Mon Sep 02 15:50:47 GMT 2024","17809","tests.functional.adapter","test_concurrency","TestConcurenncy","","","test_concurrency",""
"passed","Mon Sep 02 16:00:52 GMT 2024","Mon Sep 02 16:00:54 GMT 2024","2601","tests.functional.adapter.utils","test_utils","TestPosition","","","test_build_assert_equal",""
"skipped","Mon Sep 02 15:53:03 GMT 2024","Mon Sep 02 15:53:03 GMT 2024","0","tests.functional.adapter","test_grants","TestInvalidGrantsFirebolt","","","test_invalid_grants",""
"passed","Mon Sep 02 15:54:00 GMT 2024","Mon Sep 02 15:54:01 GMT 2024","930","tests.functional.adapter","test_seed","TestSeedWithEmptyDelimiter","","","test_seed_with_empty_delimiter","
        Testing failure of running dbt seed with an empty configured delimiter value
        "
"passed","Mon Sep 02 15:49:38 GMT 2024","Mon Sep 02 15:49:40 GMT 2024","2365","tests.functional.adapter","test_basic","TestDocsGenerateFirebolt","","","test_run_and_generate_no_compile",""
"passed","Mon Sep 02 15:53:09 GMT 2024","Mon Sep 02 15:53:12 GMT 2024","3182","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args2-7]",""
"passed","Mon Sep 02 16:01:42 GMT 2024","Mon Sep 02 16:01:47 GMT 2024","4483","tests.functional.adapter.utils","test_utils","TestFireboltEquals","","","test_equal_values",""
"skipped","Mon Sep 02 15:52:36 GMT 2024","Mon Sep 02 15:52:36 GMT 2024","0","tests.functional.adapter","test_constraints","TestConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Mon Sep 02 16:00:00 GMT 2024","Mon Sep 02 16:00:02 GMT 2024","1987","tests.functional.adapter.utils","test_utils","TestCastBoolToText","","","test_build_assert_equal",""
"passed","Mon Sep 02 15:54:04 GMT 2024","Mon Sep 02 15:54:25 GMT 2024","20885","tests.functional.adapter","test_simple_copy","TestSimpleCopyBase","","","test_simple_copy",""
