"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 15 15:26:37 GMT 2025","Wed Jan 15 15:26:42 GMT 2025","5672","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestInvalidInput","","","test_invalid_input",""
"skipped","Wed Jan 15 15:19:33 GMT 2025","Wed Jan 15 15:19:33 GMT 2025","0","tests.functional.adapter","test_grants","TestIncrementalGrantsFirebolt","","","test_incremental_grants",""
"passed","Wed Jan 15 15:23:47 GMT 2025","Wed Jan 15 15:23:53 GMT 2025","6082","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSnapshotsFirebolt","","","test_hooks_on_snapshots",""
"passed","Wed Jan 15 15:28:28 GMT 2025","Wed Jan 15 15:28:30 GMT 2025","2516","tests.functional.adapter.utils","test_utils","TestCastBoolToText","","","test_build_assert_equal",""
"skipped","Wed Jan 15 15:19:33 GMT 2025","Wed Jan 15 15:19:33 GMT 2025","0","tests.functional.adapter","test_grants","TestModelGrantsFirebolt","","","test_view_table_grants",""
"passed","Wed Jan 15 15:28:32 GMT 2025","Wed Jan 15 15:28:36 GMT 2025","3661","tests.functional.adapter.utils","test_utils","TestConcat","","","test_build_assert_equal",""
"passed","Wed Jan 15 15:29:01 GMT 2025","Wed Jan 15 15:29:05 GMT 2025","3625","tests.functional.adapter.utils","test_utils","TestLastDay","","","test_build_assert_equal",""
"passed","Wed Jan 15 15:30:06 GMT 2025","Wed Jan 15 15:30:08 GMT 2025","2579","tests.functional.adapter.utils","test_utils","TestFireboltNullCompare","","","test_build_assert_equal",""
"skipped","Wed Jan 15 15:24:37 GMT 2025","Wed Jan 15 15:24:37 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"passed","Wed Jan 15 15:20:17 GMT 2025","Wed Jan 15 15:20:17 GMT 2025","132","tests.functional.adapter","test_query_comment","TestMacroInvalidQueryCommentsFirebolt","","","test_run_assert_comments",""
"passed","Wed Jan 15 15:30:10 GMT 2025","Wed Jan 15 15:30:14 GMT 2025","3169","tests.functional.adapter.utils","test_utils","TestFireboltMixedNullCompare","","","test_build_assert_equal",""
"skipped","Wed Jan 15 15:28:55 GMT 2025","Wed Jan 15 15:28:55 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestExcept","","","test_build_assert_equal",""
"passed","Wed Jan 15 15:15:49 GMT 2025","Wed Jan 15 15:16:00 GMT 2025","10544","tests.functional.adapter","test_changing_relation_type","TestFireboltChangeRelationTypes","","","test_changing_materialization_changes_relation_type",""
"passed","Wed Jan 15 15:19:48 GMT 2025","Wed Jan 15 15:19:50 GMT 2025","1364","tests.functional.adapter","test_limit","TestFireboltShowSqlHeader","","","test_sql_header",""
"passed","Wed Jan 15 15:17:55 GMT 2025","Wed Jan 15 15:18:08 GMT 2025","13499","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Wed Jan 15 15:23:19 GMT 2025","Wed Jan 15 15:23:24 GMT 2025","4899","tests.functional.adapter.hooks","test_model_hooks","TestHookRefsFirebolt","","","test_pre_post_model_hooks_refed",""
"passed","Wed Jan 15 15:20:33 GMT 2025","Wed Jan 15 15:20:34 GMT 2025","1230","tests.functional.adapter","test_seed","TestSeedWithEmptyDelimiter","","","test_seed_with_empty_delimiter","
        Testing failure of running dbt seed with an empty configured delimiter value
        "
"passed","Wed Jan 15 15:30:22 GMT 2025","Wed Jan 15 15:30:24 GMT 2025","2571","tests.functional.adapter.utils","test_utils","TestGenerateSeries","","","test_build_assert_equal",""
"passed","Wed Jan 15 15:19:03 GMT 2025","Wed Jan 15 15:19:04 GMT 2025","510","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_connection_flag","
        Testing that the --connection flag works as expected,
        including that output is not lost
        "
"passed","Wed Jan 15 15:13:58 GMT 2025","Wed Jan 15 15:14:07 GMT 2025","8626","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
"skipped","Wed Jan 15 15:19:02 GMT 2025","Wed Jan 15 15:19:02 GMT 2025","0","tests.functional.adapter","test_constraints","TestConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Wed Jan 15 15:24:04 GMT 2025","Wed Jan 15 15:24:08 GMT 2025","3899","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigWithCountFirebolt","","","test_pre_and_post_model_hooks_model_and_project",""
"passed","Wed Jan 15 15:30:16 GMT 2025","Wed Jan 15 15:30:16 GMT 2025","483","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_failure","Executes validate_sql on invalid SQL, expecting the exception."
"passed","Wed Jan 15 15:16:49 GMT 2025","Wed Jan 15 15:17:11 GMT 2025","22236","tests.functional.adapter","test_concurrency","TestConcurrencyFirebolt","","","test_concurrency",""
"passed","Wed Jan 15 15:18:27 GMT 2025","Wed Jan 15 15:18:29 GMT 2025","2432","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Wed Jan 15 15:12:51 GMT 2025","Wed Jan 15 15:13:12 GMT 2025","21223","tests.functional.adapter","test_basic","TestSimpleMaterializationsFirebolt","","","test_base",""
"skipped","Wed Jan 15 15:24:37 GMT 2025","Wed Jan 15 15:24:37 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__bad_unique_key","expect compilation error from unique key not being a column"
"skipped","Wed Jan 15 15:29:01 GMT 2025","Wed Jan 15 15:29:01 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestIntersect","","","test_build_assert_equal",""
"passed","Wed Jan 15 15:28:00 GMT 2025","Wed Jan 15 15:28:05 GMT 2025","4710","tests.functional.adapter.utils","test_data_types","TestTypeTimestamp","","","test_check_types_assert_match",""
"passed","Wed Jan 15 15:19:04 GMT 2025","Wed Jan 15 15:19:04 GMT 2025","27","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_wronguser",""
"passed","Wed Jan 15 15:29:45 GMT 2025","Wed Jan 15 15:29:45 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestCurrentTimestamp","","","test_current_timestamp_matches_utc",""
"skipped","Wed Jan 15 15:15:49 GMT 2025","Wed Jan 15 15:15:49 GMT 2025","0","tests.functional.adapter","test_basic","TestIncrementalNotSchemaChange","","","test_incremental_not_schema_change",""
"passed","Wed Jan 15 15:19:03 GMT 2025","Wed Jan 15 15:19:03 GMT 2025","531","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_ok",""
"passed","Wed Jan 15 15:18:08 GMT 2025","Wed Jan 15 15:18:25 GMT 2025","16118","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"skipped","Wed Jan 15 15:24:37 GMT 2025","Wed Jan 15 15:24:37 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__bad_unique_key_list","expect compilation error from unique key not being a column"
"passed","Wed Jan 15 15:22:07 GMT 2025","Wed Jan 15 15:22:13 GMT 2025","5804","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsProjectLevelView","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Wed Jan 15 15:20:04 GMT 2025","Wed Jan 15 15:20:06 GMT 2025","2058","tests.functional.adapter","test_query_comment","TestQueryCommentsFirebolt","","","test_matches_comment",""
"skipped","Wed Jan 15 15:29:46 GMT 2025","Wed Jan 15 15:29:46 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_expected_actual",""
"passed","Wed Jan 15 15:17:14 GMT 2025","Wed Jan 15 15:17:17 GMT 2025","2513","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Wed Jan 15 15:25:43 GMT 2025","Wed Jan 15 15:25:54 GMT 2025","10768","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
