"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 16 10:24:54 GMT 2025","Thu Jan 16 10:24:56 GMT 2025","2174","tests.functional.adapter","test_query_comment","TestMacroArgsQueryCommentsFirebolt","","","test_matches_comment",""
"skipped","Thu Jan 16 10:20:41 GMT 2025","Thu Jan 16 10:20:41 GMT 2025","0","tests.functional.adapter","test_clone","TestFireboltCloneNotPossible","","","test_can_clone_false",""
"passed","Thu Jan 16 10:24:50 GMT 2025","Thu Jan 16 10:24:52 GMT 2025","2066","tests.functional.adapter","test_query_comment","TestMacroQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Thu Jan 16 10:24:30 GMT 2025","Thu Jan 16 10:24:31 GMT 2025","1336","tests.functional.adapter","test_limit","TestFireboltShowSqlHeader","","","test_sql_header",""
"passed","Thu Jan 16 10:33:23 GMT 2025","Thu Jan 16 10:33:26 GMT 2025","3451","tests.functional.adapter.utils","test_utils","TestDateAdd","","","test_build_assert_equal",""
"passed","Thu Jan 16 10:28:54 GMT 2025","Thu Jan 16 10:28:57 GMT 2025","3556","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigKwargsFirebolt","","","test_pre_and_post_model_hooks_model",""
"skipped","Thu Jan 16 10:25:41 GMT 2025","Thu Jan 16 10:25:41 GMT 2025","0","tests.functional.adapter","test_simple_copy","TestSimpleCopyBase","","","test_simple_copy_with_materialized_views",""
"passed","Thu Jan 16 10:27:48 GMT 2025","Thu Jan 16 10:27:51 GMT 2025","3416","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksFirebolt","","","test_pre_and_post_run_hooks",""
"passed","Thu Jan 16 10:33:13 GMT 2025","Thu Jan 16 10:33:15 GMT 2025","2502","tests.functional.adapter.utils","test_utils","TestCastBoolToText","","","test_build_assert_equal",""
"skipped","Thu Jan 16 10:29:21 GMT 2025","Thu Jan 16 10:29:21 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"passed","Thu Jan 16 10:34:59 GMT 2025","Thu Jan 16 10:35:02 GMT 2025","2727","tests.functional.adapter.utils","test_utils","TestDateSpine","","","test_build_assert_equal",""
"passed","Thu Jan 16 10:30:29 GMT 2025","Thu Jan 16 10:30:40 GMT 2025","11056","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Thu Jan 16 10:20:58 GMT 2025","Thu Jan 16 10:21:01 GMT 2025","3480","tests.functional.adapter","test_column_types","TestFireboltColumnTypes","","","test_run_and_test",""
"passed","Thu Jan 16 10:34:28 GMT 2025","Thu Jan 16 10:34:28 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestCurrentTimestamp","","","test_current_timestamp_type",""
"passed","Thu Jan 16 10:27:04 GMT 2025","Thu Jan 16 10:27:11 GMT 2025","7039","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsGeneric","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Thu Jan 16 10:28:16 GMT 2025","Thu Jan 16 10:28:16 GMT 2025","129","tests.functional.adapter.hooks","test_model_hooks","TestHooksRefsOnSeedsFirebolt","","","test_hook_with_ref_on_seeds",""
"passed","Thu Jan 16 10:22:33 GMT 2025","Thu Jan 16 10:22:35 GMT 2025","2148","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"skipped","Thu Jan 16 10:24:14 GMT 2025","Thu Jan 16 10:24:14 GMT 2025","0","tests.functional.adapter","test_grants","TestSnapshotGrantsFirebolt","","","test_snapshot_grants",""
"passed","Thu Jan 16 10:23:45 GMT 2025","Thu Jan 16 10:23:45 GMT 2025","27","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_empty_target",""
"passed","Thu Jan 16 10:20:28 GMT 2025","Thu Jan 16 10:20:39 GMT 2025","11359","tests.functional.adapter","test_changing_relation_type","TestFireboltChangeRelationTypes","","","test_changing_materialization_changes_relation_type",""
"passed","Thu Jan 16 10:29:21 GMT 2025","Thu Jan 16 10:29:30 GMT 2025","9130","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"skipped","Thu Jan 16 10:33:45 GMT 2025","Thu Jan 16 10:33:45 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestIntersect","","","test_build_assert_equal",""
"passed","Thu Jan 16 10:34:30 GMT 2025","Thu Jan 16 10:34:33 GMT 2025","2997","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_build_assert_equal",""
"passed","Thu Jan 16 10:27:35 GMT 2025","Thu Jan 16 10:27:37 GMT 2025","2134","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsExceptions","","","test_tests_run_unsuccessfully_and_raise_appropriate_exception",""
"skipped","Thu Jan 16 10:24:14 GMT 2025","Thu Jan 16 10:24:14 GMT 2025","0","tests.functional.adapter","test_grants","TestIncrementalGrantsFirebolt","","","test_incremental_grants",""
"skipped","Thu Jan 16 10:23:43 GMT 2025","Thu Jan 16 10:23:43 GMT 2025","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Thu Jan 16 10:28:30 GMT 2025","Thu Jan 16 10:28:36 GMT 2025","5647","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSnapshotsFirebolt","","","test_hooks_on_snapshots",""
"passed","Thu Jan 16 10:21:59 GMT 2025","Thu Jan 16 10:22:12 GMT 2025","13626","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"skipped","Thu Jan 16 10:29:21 GMT 2025","Thu Jan 16 10:29:21 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__trinary_unique_key_list_no_update","even with three unique keys, adding distinct rows to seed does not
        cause seed and model to diverge"
"skipped","Thu Jan 16 10:24:14 GMT 2025","Thu Jan 16 10:24:14 GMT 2025","0","tests.functional.adapter","test_grants","TestSeedGrantsFirebolt","","","test_seed_grants",""
"skipped","Thu Jan 16 10:29:21 GMT 2025","Thu Jan 16 10:29:21 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__bad_unique_key","expect compilation error from unique key not being a column"
"passed","Thu Jan 16 10:26:32 GMT 2025","Thu Jan 16 10:26:38 GMT 2025","6601","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsProjectLevelOff","","","test_tests_run_successfully_and_are_stored_as_expected",""
"skipped","Thu Jan 16 10:29:21 GMT 2025","Thu Jan 16 10:29:21 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"skipped","Thu Jan 16 10:33:57 GMT 2025","Thu Jan 16 10:33:57 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestListagg","","","test_build_assert_equal",""
"skipped","Thu Jan 16 10:24:14 GMT 2025","Thu Jan 16 10:24:14 GMT 2025","0","tests.functional.adapter","test_grants","TestInvalidGrantsFirebolt","","","test_invalid_grants",""
"skipped","Thu Jan 16 10:34:29 GMT 2025","Thu Jan 16 10:34:29 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_build_assert_equal",""
"passed","Thu Jan 16 10:34:28 GMT 2025","Thu Jan 16 10:34:28 GMT 2025","1","tests.functional.adapter.utils","test_utils","TestCurrentTimestamp","","","test_current_timestamp_matches_utc",""
"passed","Thu Jan 16 10:34:40 GMT 2025","Thu Jan 16 10:34:46 GMT 2025","5754","tests.functional.adapter.utils","test_utils","TestFireboltEquals","","","test_equal_values",""
"passed","Thu Jan 16 10:25:19 GMT 2025","Thu Jan 16 10:25:41 GMT 2025","22456","tests.functional.adapter","test_simple_copy","TestSimpleCopyBase","","","test_simple_copy",""
"passed","Thu Jan 16 10:28:02 GMT 2025","Thu Jan 16 10:28:07 GMT 2025","5337","tests.functional.adapter.hooks","test_model_hooks","TestHookRefsFirebolt","","","test_pre_post_model_hooks_refed",""
"skipped","Thu Jan 16 10:29:21 GMT 2025","Thu Jan 16 10:29:21 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"skipped","Thu Jan 16 10:29:21 GMT 2025","Thu Jan 16 10:29:21 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
