"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 11:13:38 GMT 2024","Mon Sep 02 11:13:50 GMT 2024","11589","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsInteractions","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Mon Sep 02 11:21:47 GMT 2024","Mon Sep 02 11:21:47 GMT 2024","347","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_failure","Executes validate_sql on invalid SQL, expecting the exception."
"passed","Mon Sep 02 11:15:42 GMT 2024","Mon Sep 02 11:15:45 GMT 2024","2477","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","","","test_hooks_on_seeds",""
"passed","Mon Sep 02 11:21:19 GMT 2024","Mon Sep 02 11:21:23 GMT 2024","3470","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_expected_actual",""
"passed","Mon Sep 02 11:14:16 GMT 2024","Mon Sep 02 11:14:20 GMT 2024","3878","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsProjectLevelView","","","test_tests_run_successfully_and_are_stored_as_expected",""
"skipped","Mon Sep 02 11:16:37 GMT 2024","Mon Sep 02 11:16:37 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"passed","Mon Sep 02 11:20:16 GMT 2024","Mon Sep 02 11:20:19 GMT 2024","2555","tests.functional.adapter.utils","test_utils","TestDateTrunc","","","test_build_assert_equal",""
"passed","Mon Sep 02 11:10:09 GMT 2024","Mon Sep 02 11:10:11 GMT 2024","1777","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"skipped","Mon Sep 02 11:08:33 GMT 2024","Mon Sep 02 11:08:33 GMT 2024","0","tests.functional.adapter","test_basic","TestBaseAdapterMethod","","","test_adapter_methods",""
"skipped","Mon Sep 02 11:20:41 GMT 2024","Mon Sep 02 11:20:41 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestListagg","","","test_build_assert_equal",""
"skipped","Mon Sep 02 11:16:37 GMT 2024","Mon Sep 02 11:16:37 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"passed","Mon Sep 02 11:21:06 GMT 2024","Mon Sep 02 11:21:08 GMT 2024","1805","tests.functional.adapter.utils","test_utils","TestStringLiteral","","","test_build_assert_equal",""
"passed","Mon Sep 02 11:13:00 GMT 2024","Mon Sep 02 11:13:18 GMT 2024","17575","tests.functional.adapter","test_simple_copy","TestSimpleCopyBase","","","test_simple_copy",""
"passed","Mon Sep 02 11:16:02 GMT 2024","Mon Sep 02 11:16:05 GMT 2024","2400","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Mon Sep 02 11:17:32 GMT 2024","Mon Sep 02 11:17:39 GMT 2024","7412","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Mon Sep 02 11:11:17 GMT 2024","Mon Sep 02 11:11:29 GMT 2024","12396","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"passed","Mon Sep 02 11:07:48 GMT 2024","Mon Sep 02 11:07:53 GMT 2024","4350","tests.functional.adapter","test_basic","TestSingularTestsEphemeralFirebolt","","","test_singular_tests_ephemeral",""
"passed","Mon Sep 02 11:12:43 GMT 2024","Mon Sep 02 11:12:44 GMT 2024","1605","tests.functional.adapter","test_query_comment","TestNullQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Mon Sep 02 11:12:47 GMT 2024","Mon Sep 02 11:12:48 GMT 2024","1419","tests.functional.adapter","test_query_comment","TestEmptyQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Mon Sep 02 11:16:46 GMT 2024","Mon Sep 02 11:16:53 GMT 2024","6665","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"passed","Mon Sep 02 11:19:59 GMT 2024","Mon Sep 02 11:20:01 GMT 2024","2439","tests.functional.adapter.utils","test_utils","TestConcat","","","test_build_assert_equal",""
"skipped","Mon Sep 02 11:19:39 GMT 2024","Mon Sep 02 11:19:39 GMT 2024","0","tests.functional.adapter.utils","test_data_types","TestTypeBoolean","","","test_check_types_assert_match",""
"skipped","Mon Sep 02 11:11:32 GMT 2024","Mon Sep 02 11:11:32 GMT 2024","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Mon Sep 02 11:21:41 GMT 2024","Mon Sep 02 11:21:43 GMT 2024","2386","tests.functional.adapter.utils","test_utils","TestFireboltMixedNullCompare","","","test_build_assert_equal",""
"passed","Mon Sep 02 11:08:22 GMT 2024","Mon Sep 02 11:08:28 GMT 2024","5738","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
