"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 12:23:11 GMT 2025","Mon Aug 18 12:23:15 GMT 2025","3364","tests.functional.adapter","test_query_comment","TestMacroArgsQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Mon Aug 18 12:10:09 GMT 2025","Mon Aug 18 12:10:23 GMT 2025","14699","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
"passed","Mon Aug 18 12:22:45 GMT 2025","Mon Aug 18 12:22:50 GMT 2025","4469","tests.functional.adapter","test_override","TestDocsGenerateOverride","","","test_override_used",""
"skipped","Mon Aug 18 12:28:34 GMT 2025","Mon Aug 18 12:28:34 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
"skipped","Mon Aug 18 12:20:59 GMT 2025","Mon Aug 18 12:20:59 GMT 2025","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Mon Aug 18 12:31:36 GMT 2025","Mon Aug 18 12:31:58 GMT 2025","21797","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
"passed","Mon Aug 18 12:37:40 GMT 2025","Mon Aug 18 12:37:47 GMT 2025","7405","tests.functional.adapter.utils","test_utils","TestLength","","","test_build_assert_equal",""
"passed","Mon Aug 18 12:28:11 GMT 2025","Mon Aug 18 12:28:11 GMT 2025","138","tests.functional.adapter.hooks","test_model_hooks","TestDuplicateHooksInConfigsFirebolt","","","test_run_duplicate_hook_defs",""
"passed","Mon Aug 18 12:15:34 GMT 2025","Mon Aug 18 12:15:39 GMT 2025","5393","tests.functional.adapter","test_column_types","TestFireboltColumnTypes","","","test_run_and_test",""
"passed","Mon Aug 18 12:18:36 GMT 2025","Mon Aug 18 12:18:40 GMT 2025","3782","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Mon Aug 18 12:40:07 GMT 2025","Mon Aug 18 12:40:08 GMT 2025","868","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_failure","Executes validate_sql on invalid SQL, expecting the exception."
"skipped","Mon Aug 18 12:28:34 GMT 2025","Mon Aug 18 12:28:34 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
