"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 18 12:39:15 GMT 2025","Mon Aug 18 12:39:15 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayAppend","","","test_build_assert_equal",""
"passed","Mon Aug 18 12:39:46 GMT 2025","Mon Aug 18 12:39:49 GMT 2025","2365","tests.functional.adapter.utils","test_utils","TestFireboltNullCompare","","","test_build_assert_equal",""
"passed","Mon Aug 18 12:29:35 GMT 2025","Mon Aug 18 12:29:35 GMT 2025","146","tests.functional.adapter.hooks","test_model_hooks","TestDuplicateHooksInConfigsFirebolt","","","test_run_duplicate_hook_defs",""
"passed","Mon Aug 18 12:20:46 GMT 2025","Mon Aug 18 12:20:52 GMT 2025","5647","tests.functional.adapter","test_basic","TestDocsGenReferencesFirebolt","","","test_references",""
"skipped","Mon Aug 18 12:38:36 GMT 2025","Mon Aug 18 12:38:36 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestListagg","","","test_build_assert_equal",""
"passed","Mon Aug 18 12:39:19 GMT 2025","Mon Aug 18 12:39:26 GMT 2025","7533","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_expected_actual",""
"skipped","Mon Aug 18 12:33:57 GMT 2025","Mon Aug 18 12:34:10 GMT 2025","13009","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyMergeFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"passed","Mon Aug 18 12:24:00 GMT 2025","Mon Aug 18 12:24:23 GMT 2025","23242","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"skipped","Mon Aug 18 12:30:03 GMT 2025","Mon Aug 18 12:30:03 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"passed","Mon Aug 18 12:38:14 GMT 2025","Mon Aug 18 12:38:19 GMT 2025","4472","tests.functional.adapter.utils","test_utils","TestHash","","","test_build_assert_equal",""
"skipped","Mon Aug 18 12:38:14 GMT 2025","Mon Aug 18 12:38:14 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestEscapeSingleQuotes","","","test_build_assert_equal",""
"passed","Mon Aug 18 12:26:50 GMT 2025","Mon Aug 18 12:26:51 GMT 2025","1435","tests.functional.adapter","test_seed","TestSeedWithWrongDelimiter","","","test_seed_with_wrong_delimiter","Testing failure of running dbt seed with a wrongly configured delimiter"
"passed","Mon Aug 18 12:25:13 GMT 2025","Mon Aug 18 12:25:14 GMT 2025","429","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_connection_flag","
        Testing that the --connection flag works as expected,
        including that output is not lost
        "
