"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 11:06:44 GMT 2025","Mon Aug 18 11:06:51 GMT 2025","6851","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"passed","Mon Aug 18 11:04:46 GMT 2025","Mon Aug 18 11:04:50 GMT 2025","3485","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedWhitespaceFirebolt","","","test_hooks_on_seeds",""
"passed","Mon Aug 18 10:55:32 GMT 2025","Mon Aug 18 10:55:38 GMT 2025","6583","tests.functional.adapter","test_basic","TestFireboltCorrectTypeMaterialisation","","","test_table_type_based_on_is_firebolt_core",""
"passed","Mon Aug 18 10:59:31 GMT 2025","Mon Aug 18 10:59:34 GMT 2025","2968","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args0-5]",""
"passed","Mon Aug 18 11:10:34 GMT 2025","Mon Aug 18 11:10:38 GMT 2025","3850","tests.functional.adapter.utils","test_utils","TestBoolOr","","","test_build_assert_equal",""
"passed","Mon Aug 18 10:51:28 GMT 2025","Mon Aug 18 10:51:48 GMT 2025","20097","tests.functional.adapter","test_basic","TestSimpleMaterializationsFirebolt","","","test_base",""
"passed","Mon Aug 18 11:11:11 GMT 2025","Mon Aug 18 11:11:13 GMT 2025","1890","tests.functional.adapter.utils","test_utils","TestPosition","","","test_build_assert_equal",""
"passed","Mon Aug 18 11:08:24 GMT 2025","Mon Aug 18 11:08:29 GMT 2025","5349","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyMergeFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"passed","Mon Aug 18 11:11:23 GMT 2025","Mon Aug 18 11:11:25 GMT 2025","1931","tests.functional.adapter.utils","test_utils","TestSafeCast","","","test_build_assert_equal",""
"passed","Mon Aug 18 11:00:41 GMT 2025","Mon Aug 18 11:00:42 GMT 2025","1304","tests.functional.adapter","test_seed","TestSeedWithWrongDelimiter","","","test_seed_with_wrong_delimiter","Testing failure of running dbt seed with a wrongly configured delimiter"
"passed","Mon Aug 18 10:59:00 GMT 2025","Mon Aug 18 10:59:00 GMT 2025","25","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_nopass",""
"passed","Mon Aug 18 11:10:40 GMT 2025","Mon Aug 18 11:10:42 GMT 2025","2050","tests.functional.adapter.utils","test_utils","TestCastBoolToText","","","test_build_assert_equal",""
"passed","Mon Aug 18 11:03:18 GMT 2025","Mon Aug 18 11:03:26 GMT 2025","7355","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsGeneric","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Mon Aug 18 11:11:42 GMT 2025","Mon Aug 18 11:11:45 GMT 2025","2379","tests.functional.adapter.utils","test_utils","TestFireboltEquals","","","test_build_assert_equal",""
"passed","Mon Aug 18 11:11:45 GMT 2025","Mon Aug 18 11:11:48 GMT 2025","3105","tests.functional.adapter.utils","test_utils","TestFireboltEquals","","","test_equal_values",""
"skipped","Mon Aug 18 11:05:49 GMT 2025","Mon Aug 18 11:05:49 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"skipped","Mon Aug 18 10:58:59 GMT 2025","Mon Aug 18 10:58:59 GMT 2025","0","tests.functional.adapter","test_constraints","TestConstraintQuotedColumnFirebolt","","","test__constraints_ddl",""
"skipped","Mon Aug 18 11:11:35 GMT 2025","Mon Aug 18 11:11:35 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayAppend","","","test_expected_actual",""
"passed","Mon Aug 18 11:01:53 GMT 2025","Mon Aug 18 11:02:12 GMT 2025","19173","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsInteractions","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Mon Aug 18 11:11:58 GMT 2025","Mon Aug 18 11:11:59 GMT 2025","206","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_failure","Executes validate_sql on invalid SQL, expecting the exception."
"skipped","Mon Aug 18 11:05:49 GMT 2025","Mon Aug 18 11:05:49 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"passed","Mon Aug 18 10:55:14 GMT 2025","Mon Aug 18 10:55:19 GMT 2025","5235","tests.functional.adapter","test_basic","TestDocsGenReferencesFirebolt","","","test_references",""
"passed","Mon Aug 18 10:52:18 GMT 2025","Mon Aug 18 10:52:23 GMT 2025","4984","tests.functional.adapter","test_basic","TestEphemeralFirebolt","","","test_ephemeral",""
"passed","Mon Aug 18 10:59:01 GMT 2025","Mon Aug 18 10:59:10 GMT 2025","9049","tests.functional.adapter","test_empty","TestFireboltEmpty","","","test_run_with_empty",""
"passed","Mon Aug 18 11:10:25 GMT 2025","Mon Aug 18 11:10:27 GMT 2025","2683","tests.functional.adapter.utils","test_data_types","TestTypeBoolean","","","test_check_types_assert_match",""
"passed","Mon Aug 18 11:04:42 GMT 2025","Mon Aug 18 11:04:44 GMT 2025","2355","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","","","test_hooks_on_seeds",""
"passed","Mon Aug 18 10:54:52 GMT 2025","Mon Aug 18 10:54:58 GMT 2025","6253","tests.functional.adapter","test_basic","TestDocsGenerateFirebolt","","","test_run_and_generate",""
"passed","Mon Aug 18 11:11:59 GMT 2025","Mon Aug 18 11:12:00 GMT 2025","1429","tests.functional.adapter.utils","test_utils","TestDateSpine","","","test_build_assert_equal",""
"passed","Mon Aug 18 11:00:46 GMT 2025","Mon Aug 18 11:00:47 GMT 2025","793","tests.functional.adapter","test_seed","TestSeedWithEmptyDelimiter","","","test_seed_with_empty_delimiter","
        Testing failure of running dbt seed with an empty configured delimiter value
        "
"passed","Mon Aug 18 10:57:22 GMT 2025","Mon Aug 18 10:57:35 GMT 2025","12740","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Mon Aug 18 11:10:03 GMT 2025","Mon Aug 18 11:10:07 GMT 2025","3690","tests.functional.adapter.utils","test_data_types","TestTypeInt","","","test_check_types_assert_match",""
"passed","Mon Aug 18 10:59:26 GMT 2025","Mon Aug 18 10:59:29 GMT 2025","2534","tests.functional.adapter","test_grants","TestGrantsFailWithException","","","test_view_table_grants",""
"skipped","Mon Aug 18 11:11:35 GMT 2025","Mon Aug 18 11:11:35 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayAppend","","","test_build_assert_equal",""
"passed","Mon Aug 18 10:56:17 GMT 2025","Mon Aug 18 10:56:46 GMT 2025","29297","tests.functional.adapter","test_concurrency","TestConcurenncy","","","test_concurrency",""
"passed","Mon Aug 18 11:06:17 GMT 2025","Mon Aug 18 11:06:24 GMT 2025","7112","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"skipped","Mon Aug 18 10:59:30 GMT 2025","Mon Aug 18 10:59:30 GMT 2025","0","tests.functional.adapter","test_grants","TestModelGrantsFirebolt","","","test_view_table_grants",""
"passed","Mon Aug 18 11:04:06 GMT 2025","Mon Aug 18 11:04:08 GMT 2025","1786","tests.functional.adapter","test_timestamps","TestCurrentTimestampFirebolt","","","test_current_timestamps",""
"skipped","Mon Aug 18 11:11:27 GMT 2025","Mon Aug 18 11:11:27 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestSplitPart","","","test_build_assert_equal",""
"passed","Mon Aug 18 10:58:38 GMT 2025","Mon Aug 18 10:58:40 GMT 2025","1757","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"passed","Mon Aug 18 11:11:08 GMT 2025","Mon Aug 18 11:11:09 GMT 2025","1863","tests.functional.adapter.utils","test_utils","TestLength","","","test_build_assert_equal",""
"passed","Mon Aug 18 10:58:36 GMT 2025","Mon Aug 18 10:58:38 GMT 2025","2184","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"skipped","Mon Aug 18 10:59:30 GMT 2025","Mon Aug 18 10:59:30 GMT 2025","0","tests.functional.adapter","test_grants","TestSnapshotGrantsFirebolt","","","test_snapshot_grants",""
"passed","Mon Aug 18 10:58:05 GMT 2025","Mon Aug 18 10:58:07 GMT 2025","1399","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Mon Aug 18 11:00:29 GMT 2025","Mon Aug 18 11:00:29 GMT 2025","152","tests.functional.adapter","test_query_comment","TestMacroInvalidQueryCommentsFirebolt","","","test_run_assert_comments",""
"skipped","Mon Aug 18 11:05:49 GMT 2025","Mon Aug 18 11:05:49 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__bad_unique_key_list","expect compilation error from unique key not being a column"
"passed","Mon Aug 18 10:53:01 GMT 2025","Mon Aug 18 10:53:07 GMT 2025","6025","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
"passed","Mon Aug 18 10:55:23 GMT 2025","Mon Aug 18 10:55:29 GMT 2025","5772","tests.functional.adapter","test_basic","TestFireboltCorrectTypeMaterialisation","","","test_generic_tests",""
"passed","Mon Aug 18 10:59:13 GMT 2025","Mon Aug 18 10:59:23 GMT 2025","9708","tests.functional.adapter","test_ephemeral","TestEphemeralMultiFirebolt","","","test_ephemeral_multi",""
"passed","Mon Aug 18 11:05:24 GMT 2025","Mon Aug 18 11:05:27 GMT 2025","3649","tests.functional.adapter.hooks","test_model_hooks","TestPrePostSnapshotHooksInConfigKwargsFirebolt","","","test_hooks_on_snapshots",""
"passed","Mon Aug 18 11:09:59 GMT 2025","Mon Aug 18 11:10:01 GMT 2025","2607","tests.functional.adapter.utils","test_data_types","TestTypeFloat","","","test_check_types_assert_match",""
"passed","Mon Aug 18 11:05:03 GMT 2025","Mon Aug 18 11:05:06 GMT 2025","3381","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Mon Aug 18 10:59:34 GMT 2025","Mon Aug 18 10:59:36 GMT 2025","2451","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args1-3]",""
"skipped","Mon Aug 18 11:05:49 GMT 2025","Mon Aug 18 11:05:49 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"passed","Mon Aug 18 11:08:07 GMT 2025","Mon Aug 18 11:08:11 GMT 2025","3917","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyMergeFirebolt","","","test__bad_unique_key_list","expect compilation error from unique key not being a column"
"passed","Mon Aug 18 11:11:50 GMT 2025","Mon Aug 18 11:11:51 GMT 2025","1247","tests.functional.adapter.utils","test_utils","TestFireboltNullCompare","","","test_build_assert_equal",""
"passed","Mon Aug 18 10:59:00 GMT 2025","Mon Aug 18 10:59:00 GMT 2025","25","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_wronguser",""
"passed","Mon Aug 18 11:11:35 GMT 2025","Mon Aug 18 11:11:37 GMT 2025","1825","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_build_assert_equal",""
"passed","Mon Aug 18 10:57:20 GMT 2025","Mon Aug 18 10:57:21 GMT 2025","1792","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Mon Aug 18 11:05:32 GMT 2025","Mon Aug 18 11:05:38 GMT 2025","5484","tests.functional.adapter.incremental","test_incremental","TestIncrementalPredicatesDeleteInsertFirebolt","","","test__incremental_predicates","seed should match model after two incremental runs"
"passed","Mon Aug 18 11:06:32 GMT 2025","Mon Aug 18 11:06:41 GMT 2025","9214","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"passed","Mon Aug 18 11:07:49 GMT 2025","Mon Aug 18 11:07:56 GMT 2025","6960","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyMergeFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"passed","Mon Aug 18 11:03:59 GMT 2025","Mon Aug 18 11:04:00 GMT 2025","1044","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsExceptions","","","test_tests_run_unsuccessfully_and_raise_appropriate_exception",""
"skipped","Mon Aug 18 10:58:59 GMT 2025","Mon Aug 18 10:58:59 GMT 2025","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Mon Aug 18 11:10:09 GMT 2025","Mon Aug 18 11:10:13 GMT 2025","3910","tests.functional.adapter.utils","test_data_types","TestTypeNumeric","","","test_check_types_assert_match",""
"passed","Mon Aug 18 10:56:49 GMT 2025","Mon Aug 18 10:57:12 GMT 2025","23066","tests.functional.adapter","test_concurrency","TestConcurrencyFirebolt","","","test_concurrency",""
"skipped","Mon Aug 18 10:58:59 GMT 2025","Mon Aug 18 10:58:59 GMT 2025","0","tests.functional.adapter","test_constraints","TestConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Mon Aug 18 10:59:00 GMT 2025","Mon Aug 18 10:59:00 GMT 2025","25","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_empty_target",""
"skipped","Mon Aug 18 11:11:19 GMT 2025","Mon Aug 18 11:11:21 GMT 2025","2070","tests.functional.adapter.utils","test_utils","TestRight","","","test_build_assert_equal",""
"passed","Mon Aug 18 10:59:43 GMT 2025","Mon Aug 18 10:59:45 GMT 2025","1397","tests.functional.adapter","test_limit","TestFireboltShowSqlHeader","","","test_sql_header",""
"skipped","Mon Aug 18 11:05:49 GMT 2025","Mon Aug 18 11:05:49 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
