"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 15:44:17 GMT 2025","Mon Aug 18 15:44:43 GMT 2025","25508","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestingTypes","","","test_unit_test_data_type",""
"passed","Mon Aug 18 15:36:58 GMT 2025","Mon Aug 18 15:37:01 GMT 2025","3443","tests.functional.adapter","test_materialized_views","TestMaterializedViews","","","test_singular_tests",""
"skipped","Mon Aug 18 15:46:22 GMT 2025","Mon Aug 18 15:46:22 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestIntersect","","","test_build_assert_equal",""
"passed","Mon Aug 18 15:44:05 GMT 2025","Mon Aug 18 15:44:09 GMT 2025","3676","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestCaseInsensitivity","","","test_case_insensitivity",""
"passed","Mon Aug 18 15:41:45 GMT 2025","Mon Aug 18 15:41:54 GMT 2025","9755","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__trinary_unique_key_list_no_update","even with three unique keys, adding distinct rows to seed does not
        cause seed and model to diverge"
"passed","Mon Aug 18 15:35:10 GMT 2025","Mon Aug 18 15:35:11 GMT 2025","1166","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"skipped","Mon Aug 18 15:40:01 GMT 2025","Mon Aug 18 15:40:01 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"passed","Mon Aug 18 15:30:39 GMT 2025","Mon Aug 18 15:30:49 GMT 2025","9298","tests.functional.adapter","test_basic","TestIncrementalMergeFirebolt","","","test_incremental",""
"skipped","Mon Aug 18 15:42:41 GMT 2025","Mon Aug 18 15:42:50 GMT 2025","8554","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyMergeFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"passed","Mon Aug 18 15:38:20 GMT 2025","Mon Aug 18 15:38:21 GMT 2025","1559","tests.functional.adapter","test_timestamps","TestCurrentTimestampFirebolt","","","test_current_timestamps",""
"skipped","Mon Aug 18 15:38:19 GMT 2025","Mon Aug 18 15:38:19 GMT 2025","0","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsProjectLevelOff","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Mon Aug 18 15:45:43 GMT 2025","Mon Aug 18 15:45:48 GMT 2025","4502","tests.functional.adapter.utils","test_utils","TestBoolOr","","","test_build_assert_equal",""
"passed","Mon Aug 18 15:47:47 GMT 2025","Mon Aug 18 15:47:48 GMT 2025","1409","tests.functional.adapter.utils","test_utils","TestGetPowersOfTwo","","","test_build_assert_equal",""
"passed","Mon Aug 18 15:37:18 GMT 2025","Mon Aug 18 15:37:19 GMT 2025","161","tests.functional.adapter","test_query_comment","TestMacroInvalidQueryCommentsFirebolt","","","test_run_assert_comments",""
"passed","Mon Aug 18 15:46:40 GMT 2025","Mon Aug 18 15:46:43 GMT 2025","2876","tests.functional.adapter.utils","test_utils","TestReplace","","","test_build_assert_equal",""
"skipped","Mon Aug 18 15:36:16 GMT 2025","Mon Aug 18 15:36:16 GMT 2025","0","tests.functional.adapter","test_constraints","TestConstraintQuotedColumnFirebolt","","","test__constraints_ddl",""
"passed","Mon Aug 18 15:30:20 GMT 2025","Mon Aug 18 15:30:25 GMT 2025","4476","tests.functional.adapter","test_basic","TestSingularTestsEphemeralFirebolt","","","test_singular_tests_ephemeral",""
"passed","Mon Aug 18 15:45:55 GMT 2025","Mon Aug 18 15:45:57 GMT 2025","2492","tests.functional.adapter.utils","test_utils","TestConcat","","","test_build_assert_equal",""
"skipped","Mon Aug 18 15:40:01 GMT 2025","Mon Aug 18 15:40:01 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"skipped","Mon Aug 18 15:36:16 GMT 2025","Mon Aug 18 15:36:16 GMT 2025","0","tests.functional.adapter","test_constraints","TestModelConstraintsRuntimeEnforcementFirebolt","","","test__model_constraints_ddl",""
"passed","Mon Aug 18 15:36:36 GMT 2025","Mon Aug 18 15:36:41 GMT 2025","4591","tests.functional.adapter","test_grants","TestGrantsFailWithException","","","test_view_table_grants",""
"passed","Mon Aug 18 15:33:07 GMT 2025","Mon Aug 18 15:33:15 GMT 2025","8617","tests.functional.adapter","test_basic","TestFireboltCorrectTypeMaterialisation","","","test_table_type_based_on_is_firebolt_core",""
"passed","Mon Aug 18 15:31:06 GMT 2025","Mon Aug 18 15:31:13 GMT 2025","7346","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
"passed","Mon Aug 18 15:40:35 GMT 2025","Mon Aug 18 15:40:43 GMT 2025","7560","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__bad_unique_key_list","expect compilation error from unique key not being a column"
