"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 17 01:39:47 GMT 2025","Sun Aug 17 01:39:56 GMT 2025","8409","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestingTypes","","","test_unit_test_data_type",""
"skipped","Sun Aug 17 01:38:21 GMT 2025","Sun Aug 17 01:38:21 GMT 2025","0","tests.functional.adapter","test_grants","TestIncrementalGrantsFirebolt","","","test_incremental_grants",""
"skipped","Sun Aug 17 01:38:15 GMT 2025","Sun Aug 17 01:38:15 GMT 2025","0","tests.functional.adapter","test_constraints","TestModelConstraintsRuntimeEnforcementFirebolt","","","test__model_constraints_ddl",""
"passed","Sun Aug 17 01:37:39 GMT 2025","Sun Aug 17 01:37:41 GMT 2025","2391","tests.functional.adapter","test_clone","TestCloneSameTargetAndState","","","test_clone_same_target_and_state",""
"passed","Sun Aug 17 01:39:56 GMT 2025","Sun Aug 17 01:39:57 GMT 2025","834","tests.functional.adapter.utils","test_data_types","TestTypeBigInt","","","test_check_types_assert_match",""
"passed","Sun Aug 17 01:38:40 GMT 2025","Sun Aug 17 01:38:42 GMT 2025","1992","tests.functional.adapter","test_simple_copy","TestEmptyModelsArentRun","","","test_dbt_doesnt_run_empty_models",""
"passed","Sun Aug 17 01:36:57 GMT 2025","Sun Aug 17 01:36:58 GMT 2025","693","tests.functional.adapter","test_basic","TestSingularTestsFirebolt","","","test_singular_tests",""
"skipped","Sun Aug 17 01:40:16 GMT 2025","Sun Aug 17 01:40:16 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestIntersect","","","test_build_assert_equal",""
"passed","Sun Aug 17 01:38:48 GMT 2025","Sun Aug 17 01:38:49 GMT 2025","955","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsProjectLevelOff","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Sun Aug 17 01:38:00 GMT 2025","Sun Aug 17 01:38:00 GMT 2025","519","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Sun Aug 17 01:39:18 GMT 2025","Sun Aug 17 01:39:19 GMT 2025","1159","tests.functional.adapter.hooks","test_model_hooks","TestPrePostSnapshotHooksInConfigKwargsFirebolt","","","test_hooks_on_snapshots",""
"passed","Sun Aug 17 01:39:04 GMT 2025","Sun Aug 17 01:39:05 GMT 2025","626","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksUnderscoresFirebolt","","","test_pre_and_post_run_hooks",""
"skipped","Sun Aug 17 01:37:31 GMT 2025","Sun Aug 17 01:37:31 GMT 2025","0","tests.functional.adapter","test_basic","TestIncrementalNotSchemaChange","","","test_incremental_not_schema_change",""
"skipped","Sun Aug 17 01:38:21 GMT 2025","Sun Aug 17 01:38:21 GMT 2025","0","tests.functional.adapter","test_grants","TestModelGrantsFirebolt","","","test_view_table_grants",""
"skipped","Sun Aug 17 01:38:21 GMT 2025","Sun Aug 17 01:38:21 GMT 2025","0","tests.functional.adapter","test_grants","TestInvalidGrantsFirebolt","","","test_invalid_grants",""
"passed","Sun Aug 17 01:40:00 GMT 2025","Sun Aug 17 01:40:01 GMT 2025","893","tests.functional.adapter.utils","test_data_types","TestTypeNumeric","","","test_check_types_assert_match",""
"passed","Sun Aug 17 01:38:15 GMT 2025","Sun Aug 17 01:38:15 GMT 2025","20","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_wronguser",""
"skipped","Sun Aug 17 01:38:15 GMT 2025","Sun Aug 17 01:38:15 GMT 2025","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"skipped","Sun Aug 17 01:40:21 GMT 2025","Sun Aug 17 01:40:22 GMT 2025","622","tests.functional.adapter.utils","test_utils","TestRight","","","test_build_assert_equal",""
"passed","Sun Aug 17 01:39:22 GMT 2025","Sun Aug 17 01:39:23 GMT 2025","1369","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__bad_unique_key","expect compilation error from unique key not being a column"
"passed","Sun Aug 17 01:36:51 GMT 2025","Sun Aug 17 01:36:56 GMT 2025","5209","tests.functional.adapter","test_basic","TestSimpleMaterializationsFirebolt","","","test_base",""
"passed","Sun Aug 17 01:40:35 GMT 2025","Sun Aug 17 01:40:36 GMT 2025","614","tests.functional.adapter.utils","test_utils","TestGetPowersOfTwo","","","test_build_assert_equal",""
"passed","Sun Aug 17 01:39:08 GMT 2025","Sun Aug 17 01:39:09 GMT 2025","131","tests.functional.adapter.hooks","test_model_hooks","TestHooksRefsOnSeedsFirebolt","","","test_hook_with_ref_on_seeds",""
"skipped","Sun Aug 17 01:39:22 GMT 2025","Sun Aug 17 01:39:22 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"passed","Sun Aug 17 01:40:32 GMT 2025","Sun Aug 17 01:40:32 GMT 2025","58","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_success","Executes validate_sql on valid SQL. No news is good news."
"passed","Sun Aug 17 01:38:20 GMT 2025","Sun Aug 17 01:38:21 GMT 2025","1000","tests.functional.adapter","test_grants","TestGrantsFailWithException","","","test_view_table_grants",""
"passed","Sun Aug 17 01:37:07 GMT 2025","Sun Aug 17 01:37:09 GMT 2025","2000","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
"passed","Sun Aug 17 01:38:11 GMT 2025","Sun Aug 17 01:38:15 GMT 2025","3303","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"skipped","Sun Aug 17 01:40:23 GMT 2025","Sun Aug 17 01:40:23 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestSplitPart","","","test_build_assert_equal",""
"passed","Sun Aug 17 01:39:39 GMT 2025","Sun Aug 17 01:39:41 GMT 2025","1999","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
"skipped","Sun Aug 17 01:38:15 GMT 2025","Sun Aug 17 01:38:15 GMT 2025","0","tests.functional.adapter","test_constraints","TestConstraintsRuntimeDdlEnforcementFirebolt","","","test__constraints_ddl",""
