"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 12:18:07 GMT 2025","Mon Aug 18 12:18:08 GMT 2025","637","tests.functional.adapter.utils","test_utils","TestLength","","","test_build_assert_equal",""
"passed","Mon Aug 18 12:17:53 GMT 2025","Mon Aug 18 12:17:54 GMT 2025","847","tests.functional.adapter.utils","test_data_types","TestTypeTimestamp","","","test_check_types_assert_match",""
"passed","Mon Aug 18 12:15:09 GMT 2025","Mon Aug 18 12:15:10 GMT 2025","604","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Mon Aug 18 12:15:54 GMT 2025","Mon Aug 18 12:15:54 GMT 2025","454","tests.functional.adapter","test_seed","TestSeedWithWrongDelimiter","","","test_seed_with_wrong_delimiter","Testing failure of running dbt seed with a wrongly configured delimiter"
"skipped","Mon Aug 18 12:15:34 GMT 2025","Mon Aug 18 12:15:34 GMT 2025","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRuntimeDdlEnforcementFirebolt","","","test__constraints_ddl",""
"passed","Mon Aug 18 12:15:35 GMT 2025","Mon Aug 18 12:15:35 GMT 2025","23","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_nopass",""
"passed","Mon Aug 18 12:15:55 GMT 2025","Mon Aug 18 12:15:56 GMT 2025","582","tests.functional.adapter","test_seed","TestSeedWithEmptyDelimiter","","","test_seed_with_empty_delimiter","
        Testing failure of running dbt seed with an empty configured delimiter value
        "
"passed","Mon Aug 18 12:16:59 GMT 2025","Mon Aug 18 12:17:01 GMT 2025","2046","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"passed","Mon Aug 18 12:15:35 GMT 2025","Mon Aug 18 12:15:36 GMT 2025","1667","tests.functional.adapter","test_empty","TestFireboltEmpty","","","test_run_with_empty",""
"passed","Mon Aug 18 12:18:26 GMT 2025","Mon Aug 18 12:18:27 GMT 2025","461","tests.functional.adapter.utils","test_utils","TestGetPowersOfTwo","","","test_build_assert_equal",""
"passed","Mon Aug 18 12:14:41 GMT 2025","Mon Aug 18 12:14:42 GMT 2025","911","tests.functional.adapter","test_basic","TestDocsGenerateFirebolt","","","test_run_and_generate_no_compile",""
"passed","Mon Aug 18 12:14:24 GMT 2025","Mon Aug 18 12:14:31 GMT 2025","7287","tests.functional.adapter","test_basic","TestSnapshotCheckColsFirebolt","","","test_snapshot_check_cols",""
"passed","Mon Aug 18 12:14:17 GMT 2025","Mon Aug 18 12:14:20 GMT 2025","2770","tests.functional.adapter","test_basic","TestIncrementalFirebolt","","","test_incremental",""
"passed","Mon Aug 18 12:16:10 GMT 2025","Mon Aug 18 12:16:11 GMT 2025","1003","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsProjectLevelOff","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Mon Aug 18 12:16:47 GMT 2025","Mon Aug 18 12:16:48 GMT 2025","1584","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__bad_unique_key","expect compilation error from unique key not being a column"
"skipped","Mon Aug 18 12:16:47 GMT 2025","Mon Aug 18 12:16:47 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"skipped","Mon Aug 18 12:18:11 GMT 2025","Mon Aug 18 12:18:12 GMT 2025","857","tests.functional.adapter.utils","test_utils","TestRight","","","test_build_assert_equal",""
"passed","Mon Aug 18 12:16:16 GMT 2025","Mon Aug 18 12:16:17 GMT 2025","876","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsGeneric","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Mon Aug 18 12:16:53 GMT 2025","Mon Aug 18 12:16:55 GMT 2025","1400","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__bad_unique_key_list","expect compilation error from unique key not being a column"
"passed","Mon Aug 18 12:17:33 GMT 2025","Mon Aug 18 12:17:34 GMT 2025","1121","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestCaseInsensitivity","","","test_case_insensitivity",""
