"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"with two of the same unique key, model will overwrite existing row","1222","test__duplicated_unary_unique_key_list","tests.functional.adapter.incremental","Fri Dec 26 01:41:05 UTC 2025","skipped","Fri Dec 26 01:41:06 UTC 2025","TestUniqueKeyMergeFirebolt","test_incremental","",""
"","646","test_build_assert_equal","tests.functional.adapter.utils","Fri Dec 26 01:41:49 UTC 2025","passed","Fri Dec 26 01:41:50 UTC 2025","TestPosition","test_utils","",""
"","405","test_tests_run_unsuccessfully_and_raise_appropriate_exception","tests.functional.adapter","Fri Dec 26 01:40:14 UTC 2025","passed","Fri Dec 26 01:40:14 UTC 2025","TestStoreTestFailuresAsExceptions","test_store_test_failures","",""
"","1165","test_snapshot_timestamp","tests.functional.adapter","Fri Dec 26 01:38:26 UTC 2025","broken","Fri Dec 26 01:38:27 UTC 2025","TestSnapshotTimestampFirebolt","test_basic","",""
"","807","test_hooks_on_seeds","tests.functional.adapter.hooks","Fri Dec 26 01:40:19 UTC 2025","passed","Fri Dec 26 01:40:20 UTC 2025","TestPrePostModelHooksOnSeedsFirebolt","test_model_hooks","",""
"","0","test_invalid_grants","tests.functional.adapter","Fri Dec 26 01:39:32 UTC 2025","skipped","Fri Dec 26 01:39:32 UTC 2025","TestInvalidGrantsFirebolt","test_grants","",""
"with three unique keys, model will overwrite existing row","1219","test__trinary_unique_key_list","tests.functional.adapter.incremental","Fri Dec 26 01:41:07 UTC 2025","skipped","Fri Dec 26 01:41:08 UTC 2025","TestUniqueKeyMergeFirebolt","test_incremental","",""
"","808","test_hooks_on_seeds","tests.functional.adapter.hooks","Fri Dec 26 01:40:21 UTC 2025","passed","Fri Dec 26 01:40:22 UTC 2025","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","test_model_hooks","",""
"","767","test_build_assert_equal","tests.functional.adapter.utils","Fri Dec 26 01:41:36 UTC 2025","passed","Fri Dec 26 01:41:37 UTC 2025","TestAnyValue","test_utils","",""
"","0","test__constraints_ddl","tests.functional.adapter","Fri Dec 26 01:39:26 UTC 2025","skipped","Fri Dec 26 01:39:26 UTC 2025","TestIncrementalConstraintsRuntimeDdlEnforcementFirebolt","test_constraints","",""
"","3343","test__constraints_correct_column_data_types","tests.functional.adapter","Fri Dec 26 01:39:05 UTC 2025","passed","Fri Dec 26 01:39:09 UTC 2025","TestTableConstraintsColumnsEqualFirebolt","test_constraints","",""
"","559","test_sql_header","tests.functional.adapter","Fri Dec 26 01:39:36 UTC 2025","passed","Fri Dec 26 01:39:36 UTC 2025","TestFireboltShowSqlHeader","test_limit","",""
"","0","test_build_assert_equal","tests.functional.adapter.utils","Fri Dec 26 01:41:57 UTC 2025","skipped","Fri Dec 26 01:41:57 UTC 2025","TestArrayAppend","test_utils","",""
"","127","test_run_duplicate_hook_defs","tests.functional.adapter.hooks","Fri Dec 26 01:40:30 UTC 2025","passed","Fri Dec 26 01:40:30 UTC 2025","TestDuplicateHooksInConfigsFirebolt","test_model_hooks","",""
"","441","test_matches_comment","tests.functional.adapter","Fri Dec 26 01:39:45 UTC 2025","passed","Fri Dec 26 01:39:45 UTC 2025","TestEmptyQueryCommentsFirebolt","test_query_comment","",""
"","28","test_empty_target","tests.functional.adapter","Fri Dec 26 01:39:26 UTC 2025","passed","Fri Dec 26 01:39:26 UTC 2025","TestDebugFirebolt","test_dbt_debug","",""
"with one unique key, model will overwrite existing row","0","test__unary_unique_key_list","tests.functional.adapter.incremental","Fri Dec 26 01:40:34 UTC 2025","skipped","Fri Dec 26 01:40:34 UTC 2025","TestIncrementalUniqueKeyFirebolt","test_incremental","",""
"","952","test_run_and_test","tests.functional.adapter","Fri Dec 26 01:38:50 UTC 2025","passed","Fri Dec 26 01:38:51 UTC 2025","TestFireboltColumnTypes","test_column_types","",""
