"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 24 01:39:47 GMT 2025","Fri Oct 24 01:39:49 GMT 2025","1934","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyMergeFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
"passed","Fri Oct 24 01:39:08 GMT 2025","Fri Oct 24 01:39:10 GMT 2025","1490","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__bad_unique_key","expect compilation error from unique key not being a column"
"passed","Fri Oct 24 01:40:45 GMT 2025","Fri Oct 24 01:40:46 GMT 2025","515","tests.functional.adapter.utils","test_utils","TestGetIntervalsBeteween","","","test_build_assert_equal",""
"passed","Fri Oct 24 01:40:44 GMT 2025","Fri Oct 24 01:40:45 GMT 2025","544","tests.functional.adapter.utils","test_utils","TestGenerateSeries","","","test_build_assert_equal",""
"passed","Fri Oct 24 01:36:33 GMT 2025","Fri Oct 24 01:36:34 GMT 2025","537","tests.functional.adapter","test_basic","TestSingularTestsFirebolt","","","test_singular_tests",""
"passed","Fri Oct 24 01:40:29 GMT 2025","Fri Oct 24 01:40:29 GMT 2025","635","tests.functional.adapter.utils","test_utils","TestPosition","","","test_build_assert_equal",""
"passed","Fri Oct 24 01:38:56 GMT 2025","Fri Oct 24 01:38:57 GMT 2025","1164","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSnapshotsFirebolt","","","test_hooks_on_snapshots",""
"passed","Fri Oct 24 01:39:32 GMT 2025","Fri Oct 24 01:39:34 GMT 2025","1619","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyMergeFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"passed","Fri Oct 24 01:38:12 GMT 2025","Fri Oct 24 01:38:12 GMT 2025","422","tests.functional.adapter","test_query_comment","TestQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Fri Oct 24 01:39:57 GMT 2025","Fri Oct 24 01:40:05 GMT 2025","8178","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestingTypes","","","test_unit_test_data_type",""
"passed","Fri Oct 24 01:39:10 GMT 2025","Fri Oct 24 01:39:12 GMT 2025","1428","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"passed","Fri Oct 24 01:38:15 GMT 2025","Fri Oct 24 01:38:16 GMT 2025","577","tests.functional.adapter","test_query_comment","TestNullQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Fri Oct 24 01:40:10 GMT 2025","Fri Oct 24 01:40:11 GMT 2025","992","tests.functional.adapter.utils","test_data_types","TestTypeNumeric","","","test_check_types_assert_match",""
"passed","Fri Oct 24 01:38:53 GMT 2025","Fri Oct 24 01:38:54 GMT 2025","938","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","","","test_hooks_on_seeds",""
"passed","Fri Oct 24 01:39:03 GMT 2025","Fri Oct 24 01:39:04 GMT 2025","126","tests.functional.adapter.hooks","test_model_hooks","TestDuplicateHooksInConfigsFirebolt","","","test_run_duplicate_hook_defs",""
