"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","428","test_build_assert_equal","tests.functional.adapter.utils","Sun Nov 09 01:40:00 UTC 2025","passed","Sun Nov 09 01:40:00 UTC 2025","TestFireboltNullCompare","test_utils","",""
"","590","test_build_assert_equal","tests.functional.adapter.utils","Sun Nov 09 01:40:01 UTC 2025","passed","Sun Nov 09 01:40:01 UTC 2025","TestFireboltMixedNullCompare","test_utils","",""
"","592","test_build_assert_equal","tests.functional.adapter.utils","Sun Nov 09 01:39:44 UTC 2025","passed","Sun Nov 09 01:39:44 UTC 2025","TestDateDiff","test_utils","",""
"","883","test_tests_run_successfully_and_are_stored_as_expected","tests.functional.adapter","Sun Nov 09 01:38:17 UTC 2025","passed","Sun Nov 09 01:38:18 UTC 2025","TestStoreTestFailuresAsProjectLevelOff","test_store_test_failures","",""
"","0","test_pre_and_post_run_hooks","tests.functional.adapter.hooks","Sun Nov 09 01:38:31 UTC 2025","broken","Sun Nov 09 01:38:31 UTC 2025","TestPrePostModelHooksUnderscoresFirebolt","test_model_hooks","",""
"","0","test_pre_and_post_model_hooks_model_and_project","tests.functional.adapter.hooks","Sun Nov 09 01:38:39 UTC 2025","broken","Sun Nov 09 01:38:39 UTC 2025","TestPrePostModelHooksInConfigWithCountFirebolt","test_model_hooks","",""
"","0","test_build_assert_equal","tests.functional.adapter.utils","Sun Nov 09 01:39:56 UTC 2025","skipped","Sun Nov 09 01:39:56 UTC 2025","TestArrayConcat","test_utils","",""
"","0","test_incremental_not_schema_change","tests.functional.adapter","Sun Nov 09 01:37:05 UTC 2025","skipped","Sun Nov 09 01:37:05 UTC 2025","TestIncrementalNotSchemaChange","test_basic","",""
"","0","test__constraints_enforcement_rollback","tests.functional.adapter","Sun Nov 09 01:37:45 UTC 2025","skipped","Sun Nov 09 01:37:45 UTC 2025","TestConstraintsRollbackFirebolt","test_constraints","",""
"","543","test_build_assert_equal","tests.functional.adapter.utils","Sun Nov 09 01:39:48 UTC 2025","passed","Sun Nov 09 01:39:49 UTC 2025","TestLength","test_utils","",""
