"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 11:15:55 GMT 2024","Mon Feb 12 11:15:59 GMT 2024","4431","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","","","test_hooks_on_seeds",""
"passed","Mon Feb 12 11:27:08 GMT 2024","Mon Feb 12 11:27:11 GMT 2024","3229","tests.functional.adapter.utils","test_utils","TestFireboltNullCompare","","","test_build_assert_equal",""
"passed","Mon Feb 12 11:16:25 GMT 2024","Mon Feb 12 11:16:32 GMT 2024","6821","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSnapshotsFirebolt","","","test_hooks_on_snapshots",""
"skipped","Mon Feb 12 11:24:55 GMT 2024","Mon Feb 12 11:25:00 GMT 2024","4411","tests.functional.adapter.utils","test_utils","TestRight","","","test_build_assert_equal",""
"passed","Mon Feb 12 11:12:42 GMT 2024","Mon Feb 12 11:12:45 GMT 2024","2873","tests.functional.adapter","test_query_comment","TestMacroArgsQueryCommentsFirebolt","","","test_matches_comment",""
"skipped","Mon Feb 12 11:21:58 GMT 2024","Mon Feb 12 11:21:58 GMT 2024","0","tests.functional.adapter.utils","test_data_types","TestTypeBoolean","","","test_check_types_assert_match",""
"skipped","Mon Feb 12 11:18:09 GMT 2024","Mon Feb 12 11:18:09 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"skipped","Mon Feb 12 11:07:10 GMT 2024","Mon Feb 12 11:07:10 GMT 2024","0","tests.functional.adapter","test_basic","TestIncrementalNotSchemaChange","","","test_incremental_not_schema_change",""
"passed","Mon Feb 12 11:26:36 GMT 2024","Mon Feb 12 11:26:42 GMT 2024","6425","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_expected_actual",""
"passed","Mon Feb 12 11:07:49 GMT 2024","Mon Feb 12 11:08:14 GMT 2024","25769","tests.functional.adapter","test_concurrency","TestConcurenncy","","","test_concurrency",""
"skipped","Mon Feb 12 11:12:03 GMT 2024","Mon Feb 12 11:12:03 GMT 2024","0","tests.functional.adapter","test_grants","TestIncrementalGrantsFirebolt","","","test_incremental_grants",""
"passed","Mon Feb 12 11:17:41 GMT 2024","Mon Feb 12 11:17:42 GMT 2024","844","tests.functional.adapter.hooks","test_model_hooks","TestDuplicateHooksInConfigsFirebolt","","","test_run_duplicate_hook_defs",""
"passed","Mon Feb 12 11:09:19 GMT 2024","Mon Feb 12 11:09:40 GMT 2024","20814","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"passed","Mon Feb 12 11:18:57 GMT 2024","Mon Feb 12 11:19:09 GMT 2024","11987","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"passed","Mon Feb 12 11:20:25 GMT 2024","Mon Feb 12 11:20:31 GMT 2024","6056","tests.functional.adapter.utils","test_data_types","TestTypeBigInt","","","test_check_types_assert_match",""
"skipped","Mon Feb 12 11:06:16 GMT 2024","Mon Feb 12 11:06:16 GMT 2024","0","tests.functional.adapter","test_basic","TestSnapshotTimestampFirebolt","","","test_snapshot_timestamp",""
"skipped","Mon Feb 12 11:11:27 GMT 2024","Mon Feb 12 11:11:27 GMT 2024","0","tests.functional.adapter","test_constraints","TestConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Mon Feb 12 11:24:28 GMT 2024","Mon Feb 12 11:24:32 GMT 2024","4222","tests.functional.adapter.utils","test_utils","TestPosition","","","test_build_assert_equal",""
