"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 01:39:15 GMT 2025","Sat Aug 09 01:39:17 GMT 2025","1316","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"passed","Sat Aug 09 01:37:25 GMT 2025","Sat Aug 09 01:37:27 GMT 2025","1669","tests.functional.adapter","test_basic","TestFireboltCorrectTypeMaterialisation","","","test_generic_tests",""
"passed","Sat Aug 09 01:38:21 GMT 2025","Sat Aug 09 01:38:21 GMT 2025","363","tests.functional.adapter","test_query_comment","TestNullQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Sat Aug 09 01:38:51 GMT 2025","Sat Aug 09 01:38:51 GMT 2025","726","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksUnderscoresFirebolt","","","test_pre_and_post_run_hooks",""
"passed","Sat Aug 09 01:38:53 GMT 2025","Sat Aug 09 01:38:54 GMT 2025","673","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsFirebolt","","","test_hooks_on_seeds",""
"passed","Sat Aug 09 01:39:06 GMT 2025","Sat Aug 09 01:39:08 GMT 2025","1318","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__bad_unique_key","expect compilation error from unique key not being a column"
"passed","Sat Aug 09 01:39:56 GMT 2025","Sat Aug 09 01:39:56 GMT 2025","552","tests.functional.adapter.utils","test_utils","TestPosition","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:37:48 GMT 2025","Sat Aug 09 01:37:51 GMT 2025","2971","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"passed","Sat Aug 09 01:38:18 GMT 2025","Sat Aug 09 01:38:19 GMT 2025","519","tests.functional.adapter","test_query_comment","TestMacroQueryCommentsFirebolt","","","test_matches_comment",""
"skipped","Sat Aug 09 01:38:11 GMT 2025","Sat Aug 09 01:38:11 GMT 2025","0","tests.functional.adapter","test_grants","TestSeedGrantsFirebolt","","","test_seed_grants",""
"skipped","Sat Aug 09 01:40:00 GMT 2025","Sat Aug 09 01:40:00 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestSplitPart","","","test_build_assert_equal",""
"skipped","Sat Aug 09 01:39:06 GMT 2025","Sat Aug 09 01:39:06 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"passed","Sat Aug 09 01:37:23 GMT 2025","Sat Aug 09 01:37:24 GMT 2025","832","tests.functional.adapter","test_basic","TestDocsGenReferencesFirebolt","","","test_references",""
"skipped","Sat Aug 09 01:40:02 GMT 2025","Sat Aug 09 01:40:02 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayAppend","","","test_build_assert_equal",""
"skipped","Sat Aug 09 01:39:55 GMT 2025","Sat Aug 09 01:39:55 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestListagg","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:38:14 GMT 2025","Sat Aug 09 01:38:15 GMT 2025","295","tests.functional.adapter","test_limit","TestFireboltShowSqlHeader","","","test_sql_header",""
"passed","Sat Aug 09 01:39:55 GMT 2025","Sat Aug 09 01:39:55 GMT 2025","539","tests.functional.adapter.utils","test_utils","TestLength","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:37:17 GMT 2025","Sat Aug 09 01:37:19 GMT 2025","1641","tests.functional.adapter","test_basic","TestBaseAdapterMethod","","","test_adapter_methods",""
"passed","Sat Aug 09 01:37:52 GMT 2025","Sat Aug 09 01:37:52 GMT 2025","479","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Sat Aug 09 01:37:53 GMT 2025","Sat Aug 09 01:37:55 GMT 2025","2786","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Sat Aug 09 01:39:52 GMT 2025","Sat Aug 09 01:39:53 GMT 2025","547","tests.functional.adapter.utils","test_utils","TestHash","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:40:02 GMT 2025","Sat Aug 09 01:40:03 GMT 2025","622","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_expected_actual",""
"skipped","Sat Aug 09 01:38:06 GMT 2025","Sat Aug 09 01:38:06 GMT 2025","0","tests.functional.adapter","test_constraints","TestConstraintsRuntimeDdlEnforcementFirebolt","","","test__constraints_ddl",""
"skipped","Sat Aug 09 01:38:28 GMT 2025","Sat Aug 09 01:38:28 GMT 2025","0","tests.functional.adapter","test_simple_copy","TestSimpleCopyBase","","","test_simple_copy_with_materialized_views",""
"skipped","Sat Aug 09 01:39:06 GMT 2025","Sat Aug 09 01:39:06 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"passed","Sat Aug 09 01:38:10 GMT 2025","Sat Aug 09 01:38:11 GMT 2025","747","tests.functional.adapter","test_grants","TestGrantsFailWithException","","","test_view_table_grants",""
"passed","Sat Aug 09 01:38:18 GMT 2025","Sat Aug 09 01:38:18 GMT 2025","374","tests.functional.adapter","test_query_comment","TestQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Sat Aug 09 01:39:39 GMT 2025","Sat Aug 09 01:39:39 GMT 2025","718","tests.functional.adapter.utils","test_data_types","TestTypeInt","","","test_check_types_assert_match",""
"passed","Sat Aug 09 01:37:13 GMT 2025","Sat Aug 09 01:37:16 GMT 2025","3095","tests.functional.adapter","test_basic","TestSnapshotTimestampFirebolt","","","test_snapshot_timestamp",""
"passed","Sat Aug 09 01:39:19 GMT 2025","Sat Aug 09 01:39:21 GMT 2025","1720","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Sat Aug 09 01:38:36 GMT 2025","Sat Aug 09 01:38:37 GMT 2025","858","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsProjectLevelOff","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Sat Aug 09 01:39:42 GMT 2025","Sat Aug 09 01:39:43 GMT 2025","735","tests.functional.adapter.utils","test_data_types","TestTypeTimestamp","","","test_check_types_assert_match",""
"passed","Sat Aug 09 01:37:21 GMT 2025","Sat Aug 09 01:37:21 GMT 2025","622","tests.functional.adapter","test_basic","TestDocsGenerateFirebolt","","","test_run_and_generate_no_compile",""
"passed","Sat Aug 09 01:38:06 GMT 2025","Sat Aug 09 01:38:06 GMT 2025","18","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_wronguser",""
"passed","Sat Aug 09 01:38:12 GMT 2025","Sat Aug 09 01:38:13 GMT 2025","1005","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args0-5]",""
"passed","Sat Aug 09 01:38:52 GMT 2025","Sat Aug 09 01:38:53 GMT 2025","715","tests.functional.adapter.hooks","test_model_hooks","TestHookRefsFirebolt","","","test_pre_post_model_hooks_refed",""
"passed","Sat Aug 09 01:38:59 GMT 2025","Sat Aug 09 01:38:59 GMT 2025","544","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Sat Aug 09 01:37:55 GMT 2025","Sat Aug 09 01:37:58 GMT 2025","2841","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"passed","Sat Aug 09 01:37:35 GMT 2025","Sat Aug 09 01:37:36 GMT 2025","684","tests.functional.adapter","test_column_types","TestFireboltColumnTypes","","","test_run_and_test",""
"passed","Sat Aug 09 01:40:04 GMT 2025","Sat Aug 09 01:40:05 GMT 2025","1017","tests.functional.adapter.utils","test_utils","TestFireboltEquals","","","test_equal_values",""
"skipped","Sat Aug 09 01:39:06 GMT 2025","Sat Aug 09 01:39:06 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"passed","Sat Aug 09 01:39:40 GMT 2025","Sat Aug 09 01:39:40 GMT 2025","734","tests.functional.adapter.utils","test_data_types","TestTypeNumeric","","","test_check_types_assert_match",""
"passed","Sat Aug 09 01:39:46 GMT 2025","Sat Aug 09 01:39:47 GMT 2025","658","tests.functional.adapter.utils","test_utils","TestBoolOr","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:39:44 GMT 2025","Sat Aug 09 01:39:44 GMT 2025","725","tests.functional.adapter.utils","test_data_types","TestTypeBoolean","","","test_check_types_assert_match",""
"passed","Sat Aug 09 01:38:15 GMT 2025","Sat Aug 09 01:38:16 GMT 2025","933","tests.functional.adapter","test_materialized_views","TestMaterializedViews","","","test_singular_tests",""
"passed","Sat Aug 09 01:38:06 GMT 2025","Sat Aug 09 01:38:06 GMT 2025","17","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_empty_target",""
"passed","Sat Aug 09 01:40:00 GMT 2025","Sat Aug 09 01:40:00 GMT 2025","436","tests.functional.adapter.utils","test_utils","TestStringLiteral","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:39:49 GMT 2025","Sat Aug 09 01:39:50 GMT 2025","715","tests.functional.adapter.utils","test_utils","TestDateAdd","","","test_build_assert_equal",""
"skipped","Sat Aug 09 01:38:06 GMT 2025","Sat Aug 09 01:38:06 GMT 2025","0","tests.functional.adapter","test_constraints","TestModelConstraintsRuntimeEnforcementFirebolt","","","test__model_constraints_ddl",""
"skipped","Sat Aug 09 01:38:11 GMT 2025","Sat Aug 09 01:38:11 GMT 2025","0","tests.functional.adapter","test_grants","TestInvalidGrantsFirebolt","","","test_invalid_grants",""
"passed","Sat Aug 09 01:38:54 GMT 2025","Sat Aug 09 01:38:54 GMT 2025","106","tests.functional.adapter.hooks","test_model_hooks","TestHooksRefsOnSeedsFirebolt","","","test_hook_with_ref_on_seeds",""
"skipped","Sat Aug 09 01:37:25 GMT 2025","Sat Aug 09 01:37:25 GMT 2025","0","tests.functional.adapter","test_basic","TestIncrementalNotSchemaChange","","","test_incremental_not_schema_change",""
"skipped","Sat Aug 09 01:39:06 GMT 2025","Sat Aug 09 01:39:06 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Sat Aug 09 01:39:48 GMT 2025","Sat Aug 09 01:39:49 GMT 2025","562","tests.functional.adapter.utils","test_utils","TestConcat","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:38:06 GMT 2025","Sat Aug 09 01:38:06 GMT 2025","67","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_ok",""
"passed","Sat Aug 09 01:37:37 GMT 2025","Sat Aug 09 01:37:40 GMT 2025","3455","tests.functional.adapter","test_concurrency","TestConcurenncy","","","test_concurrency",""
"passed","Sat Aug 09 01:37:52 GMT 2025","Sat Aug 09 01:37:53 GMT 2025","352","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"passed","Sat Aug 09 01:37:45 GMT 2025","Sat Aug 09 01:37:46 GMT 2025","338","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"skipped","Sat Aug 09 01:38:06 GMT 2025","Sat Aug 09 01:38:06 GMT 2025","0","tests.functional.adapter","test_constraints","TestConstraintQuotedColumnFirebolt","","","test__constraints_ddl",""
"skipped","Sat Aug 09 01:40:02 GMT 2025","Sat Aug 09 01:40:02 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:38:57 GMT 2025","Sat Aug 09 01:38:58 GMT 2025","1197","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSnapshotsFirebolt","","","test_hooks_on_snapshots",""
"passed","Sat Aug 09 01:39:27 GMT 2025","Sat Aug 09 01:39:28 GMT 2025","1009","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestInvalidInput","","","test_invalid_input",""
"passed","Sat Aug 09 01:40:06 GMT 2025","Sat Aug 09 01:40:07 GMT 2025","598","tests.functional.adapter.utils","test_utils","TestFireboltMixedNullCompare","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:40:07 GMT 2025","Sat Aug 09 01:40:07 GMT 2025","53","tests.functional.adapter.utils","test_utils","TestFireboltValidateSqlMethod","","","test_validate_sql_success","Executes validate_sql on valid SQL. No news is good news."
"passed","Sat Aug 09 01:40:01 GMT 2025","Sat Aug 09 01:40:01 GMT 2025","1","tests.functional.adapter.utils","test_utils","TestCurrentTimestamp","","","test_current_timestamp_matches_utc",""
"skipped","Sat Aug 09 01:38:11 GMT 2025","Sat Aug 09 01:38:11 GMT 2025","0","tests.functional.adapter","test_grants","TestSnapshotGrantsFirebolt","","","test_snapshot_grants",""
"passed","Sat Aug 09 01:37:06 GMT 2025","Sat Aug 09 01:37:12 GMT 2025","6448","tests.functional.adapter","test_basic","TestSnapshotCheckColsFirebolt","","","test_snapshot_check_cols",""
"passed","Sat Aug 09 01:39:51 GMT 2025","Sat Aug 09 01:39:52 GMT 2025","550","tests.functional.adapter.utils","test_utils","TestDateTrunc","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:38:55 GMT 2025","Sat Aug 09 01:38:56 GMT 2025","674","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","","","test_hooks_on_seeds",""
"skipped","Sat Aug 09 01:39:58 GMT 2025","Sat Aug 09 01:39:58 GMT 2025","563","tests.functional.adapter.utils","test_utils","TestRight","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:38:08 GMT 2025","Sat Aug 09 01:38:10 GMT 2025","1507","tests.functional.adapter","test_ephemeral","TestEphemeralMultiFirebolt","","","test_ephemeral_multi",""
"passed","Sat Aug 09 01:39:04 GMT 2025","Sat Aug 09 01:39:04 GMT 2025","97","tests.functional.adapter.hooks","test_model_hooks","TestDuplicateHooksInConfigsFirebolt","","","test_run_duplicate_hook_defs",""
"passed","Sat Aug 09 01:38:19 GMT 2025","Sat Aug 09 01:38:20 GMT 2025","376","tests.functional.adapter","test_query_comment","TestMacroArgsQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Sat Aug 09 01:39:23 GMT 2025","Sat Aug 09 01:39:25 GMT 2025","1311","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__trinary_unique_key_list_no_update","even with three unique keys, adding distinct rows to seed does not
        cause seed and model to diverge"
"passed","Sat Aug 09 01:37:21 GMT 2025","Sat Aug 09 01:37:22 GMT 2025","996","tests.functional.adapter","test_basic","TestDocsGenerateFirebolt","","","test_run_and_generate",""
"skipped","Sat Aug 09 01:38:06 GMT 2025","Sat Aug 09 01:38:06 GMT 2025","0","tests.functional.adapter","test_constraints","TestIncrementalConstraintsRollbackFirebolt","","","test__constraints_enforcement_rollback",""
"passed","Sat Aug 09 01:37:59 GMT 2025","Sat Aug 09 01:37:59 GMT 2025","640","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Sat Aug 09 01:36:55 GMT 2025","Sat Aug 09 01:36:56 GMT 2025","1333","tests.functional.adapter","test_basic","TestSingularTestsEphemeralFirebolt","","","test_singular_tests_ephemeral",""
"passed","Sat Aug 09 01:38:48 GMT 2025","Sat Aug 09 01:38:49 GMT 2025","464","tests.functional.adapter","test_timestamps","TestCurrentTimestampFirebolt","","","test_current_timestamps",""
"skipped","Sat Aug 09 01:40:02 GMT 2025","Sat Aug 09 01:40:02 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_expected_actual",""
"passed","Sat Aug 09 01:37:30 GMT 2025","Sat Aug 09 01:37:32 GMT 2025","2225","tests.functional.adapter","test_changing_relation_type","TestFireboltChangeRelationTypes","","","test_changing_materialization_changes_relation_type",""
"passed","Sat Aug 09 01:39:01 GMT 2025","Sat Aug 09 01:39:02 GMT 2025","702","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigKwargsFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Sat Aug 09 01:38:23 GMT 2025","Sat Aug 09 01:38:23 GMT 2025","374","tests.functional.adapter","test_seed","TestSeedWithWrongDelimiter","","","test_seed_with_wrong_delimiter","Testing failure of running dbt seed with a wrongly configured delimiter"
"passed","Sat Aug 09 01:38:00 GMT 2025","Sat Aug 09 01:38:03 GMT 2025","2782","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Sat Aug 09 01:40:05 GMT 2025","Sat Aug 09 01:40:06 GMT 2025","439","tests.functional.adapter.utils","test_utils","TestFireboltNullCompare","","","test_build_assert_equal",""
"passed","Sat Aug 09 01:38:24 GMT 2025","Sat Aug 09 01:38:24 GMT 2025","321","tests.functional.adapter","test_seed","TestSeedWithEmptyDelimiter","","","test_seed_with_empty_delimiter","
        Testing failure of running dbt seed with an empty configured delimiter value
        "
"passed","Sat Aug 09 01:38:06 GMT 2025","Sat Aug 09 01:38:08 GMT 2025","1471","tests.functional.adapter","test_empty","TestFireboltEmpty","","","test_run_with_empty",""
"passed","Sat Aug 09 01:39:00 GMT 2025","Sat Aug 09 01:39:01 GMT 2025","620","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigWithCountFirebolt","","","test_pre_and_post_model_hooks_model_and_project",""
"passed","Sat Aug 09 01:38:20 GMT 2025","Sat Aug 09 01:38:20 GMT 2025","116","tests.functional.adapter","test_query_comment","TestMacroInvalidQueryCommentsFirebolt","","","test_run_assert_comments",""
"passed","Sat Aug 09 01:36:58 GMT 2025","Sat Aug 09 01:36:59 GMT 2025","1293","tests.functional.adapter","test_basic","TestEphemeralFirebolt","","","test_ephemeral",""
"passed","Sat Aug 09 01:37:03 GMT 2025","Sat Aug 09 01:37:05 GMT 2025","1813","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
"passed","Sat Aug 09 01:37:27 GMT 2025","Sat Aug 09 01:37:29 GMT 2025","1639","tests.functional.adapter","test_basic","TestFireboltCorrectTypeMaterialisation","","","test_table_type_based_on_is_firebolt_core",""
"passed","Sat Aug 09 01:39:36 GMT 2025","Sat Aug 09 01:39:37 GMT 2025","739","tests.functional.adapter.utils","test_data_types","TestTypeBigInt","","","test_check_types_assert_match",""
"skipped","Sat Aug 09 01:38:11 GMT 2025","Sat Aug 09 01:38:11 GMT 2025","0","tests.functional.adapter","test_grants","TestIncrementalGrantsFirebolt","","","test_incremental_grants",""
"passed","Sat Aug 09 01:38:13 GMT 2025","Sat Aug 09 01:38:14 GMT 2025","678","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args2-7]",""
"skipped","Sat Aug 09 01:39:06 GMT 2025","Sat Aug 09 01:39:06 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
