"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 02 01:41:00 GMT 2025","Sat Aug 02 01:41:01 GMT 2025","624","tests.functional.adapter.utils","test_utils","TestPosition","","","test_build_assert_equal",""
"passed","Sat Aug 02 01:40:40 GMT 2025","Sat Aug 02 01:40:41 GMT 2025","1028","tests.functional.adapter.utils","test_data_types","TestTypeFloat","","","test_check_types_assert_match",""
"passed","Sat Aug 02 01:39:55 GMT 2025","Sat Aug 02 01:39:56 GMT 2025","817","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Sat Aug 02 01:40:30 GMT 2025","Sat Aug 02 01:40:38 GMT 2025","8514","tests.functional.adapter.unit_testing","test_unit_testing","TestFireboltUnitTestingTypes","","","test_unit_test_data_type",""
"passed","Sat Aug 02 01:41:07 GMT 2025","Sat Aug 02 01:41:08 GMT 2025","550","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_build_assert_equal",""
"passed","Sat Aug 02 01:39:54 GMT 2025","Sat Aug 02 01:39:55 GMT 2025","1143","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSnapshotsFirebolt","","","test_hooks_on_snapshots",""
"passed","Sat Aug 02 01:38:51 GMT 2025","Sat Aug 02 01:38:51 GMT 2025","236","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_empty_target",""
"skipped","Sat Aug 02 01:38:09 GMT 2025","Sat Aug 02 01:38:09 GMT 2025","0","tests.functional.adapter","test_clone","TestFireboltCloneNotPossible","","","test_can_clone_false",""
"passed","Sat Aug 02 01:39:06 GMT 2025","Sat Aug 02 01:39:06 GMT 2025","463","tests.functional.adapter","test_query_comment","TestQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Sat Aug 02 01:40:58 GMT 2025","Sat Aug 02 01:40:58 GMT 2025","625","tests.functional.adapter.utils","test_utils","TestLastDay","","","test_build_assert_equal",""
"passed","Sat Aug 02 01:39:09 GMT 2025","Sat Aug 02 01:39:09 GMT 2025","146","tests.functional.adapter","test_query_comment","TestMacroInvalidQueryCommentsFirebolt","","","test_run_assert_comments",""
