"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 28 16:38:18 GMT 2025","Mon Jul 28 16:38:18 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"passed","Mon Jul 28 16:37:41 GMT 2025","Mon Jul 28 16:37:43 GMT 2025","2328","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsInteractions","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Mon Jul 28 16:36:41 GMT 2025","Mon Jul 28 16:36:45 GMT 2025","3645","tests.functional.adapter","test_concurrency","TestConcurenncy","","","test_concurrency",""
"skipped","Mon Jul 28 16:39:12 GMT 2025","Mon Jul 28 16:39:12 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_build_assert_equal",""
"skipped","Mon Jul 28 16:39:07 GMT 2025","Mon Jul 28 16:39:08 GMT 2025","775","tests.functional.adapter.utils","test_utils","TestRight","","","test_build_assert_equal",""
"passed","Mon Jul 28 16:38:07 GMT 2025","Mon Jul 28 16:38:08 GMT 2025","761","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedWhitespaceFirebolt","","","test_hooks_on_seeds",""
"failed","Mon Jul 28 16:37:36 GMT 2025","Mon Jul 28 16:37:36 GMT 2025","516","tests.functional.adapter","test_simple_copy","TestSimpleCopyBase","","","test_simple_copy",""
"passed","Mon Jul 28 16:38:52 GMT 2025","Mon Jul 28 16:38:53 GMT 2025","982","tests.functional.adapter.utils","test_data_types","TestTypeBoolean","","","test_check_types_assert_match",""
"passed","Mon Jul 28 16:39:17 GMT 2025","Mon Jul 28 16:39:18 GMT 2025","673","tests.functional.adapter.utils","test_utils","TestFireboltMixedNullCompare","","","test_build_assert_equal",""
"skipped","Mon Jul 28 16:36:33 GMT 2025","Mon Jul 28 16:36:33 GMT 2025","0","tests.functional.adapter","test_basic","TestIncrementalNotSchemaChange","","","test_incremental_not_schema_change",""
"passed","Mon Jul 28 16:36:59 GMT 2025","Mon Jul 28 16:36:59 GMT 2025","375","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"skipped","Mon Jul 28 16:37:21 GMT 2025","Mon Jul 28 16:37:21 GMT 2025","0","tests.functional.adapter","test_grants","TestIncrementalGrantsFirebolt","","","test_incremental_grants",""
"passed","Mon Jul 28 16:39:04 GMT 2025","Mon Jul 28 16:39:04 GMT 2025","591","tests.functional.adapter.utils","test_utils","TestLength","","","test_build_assert_equal",""
"passed","Mon Jul 28 16:38:46 GMT 2025","Mon Jul 28 16:38:47 GMT 2025","979","tests.functional.adapter.utils","test_data_types","TestTypeInt","","","test_check_types_assert_match",""
"passed","Mon Jul 28 16:38:36 GMT 2025","Mon Jul 28 16:38:38 GMT 2025","1435","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__trinary_unique_key_list_no_update","even with three unique keys, adding distinct rows to seed does not
        cause seed and model to diverge"
"passed","Mon Jul 28 16:37:34 GMT 2025","Mon Jul 28 16:37:34 GMT 2025","629","tests.functional.adapter","test_seed","TestSeedWithWrongDelimiter","","","test_seed_with_wrong_delimiter","Testing failure of running dbt seed with a wrongly configured delimiter"
"passed","Mon Jul 28 16:37:20 GMT 2025","Mon Jul 28 16:37:20 GMT 2025","849","tests.functional.adapter","test_grants","TestGrantsFailWithException","","","test_view_table_grants",""
"passed","Mon Jul 28 16:36:51 GMT 2025","Mon Jul 28 16:36:51 GMT 2025","385","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
