"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 01 01:42:35 GMT 2025","Fri Aug 01 01:42:35 GMT 2025","1","tests.functional.adapter.utils","test_utils","TestCurrentTimestamp","","","test_current_timestamp_matches_utc",""
"passed","Fri Aug 01 01:40:22 GMT 2025","Fri Aug 01 01:40:25 GMT 2025","3183","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"skipped","Fri Aug 01 01:41:36 GMT 2025","Fri Aug 01 01:41:36 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__duplicated_unary_unique_key_list","with two of the same unique key, model will overwrite existing row"
"passed","Fri Aug 01 01:40:48 GMT 2025","Fri Aug 01 01:40:48 GMT 2025","133","tests.functional.adapter","test_query_comment","TestMacroInvalidQueryCommentsFirebolt","","","test_run_assert_comments",""
"passed","Fri Aug 01 01:40:41 GMT 2025","Fri Aug 01 01:40:42 GMT 2025","702","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args2-7]",""
"passed","Fri Aug 01 01:39:37 GMT 2025","Fri Aug 01 01:39:40 GMT 2025","3205","tests.functional.adapter","test_basic","TestSnapshotTimestampFirebolt","","","test_snapshot_timestamp",""
"skipped","Fri Aug 01 01:42:36 GMT 2025","Fri Aug 01 01:42:36 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_build_assert_equal",""
"passed","Fri Aug 01 01:41:31 GMT 2025","Fri Aug 01 01:41:32 GMT 2025","596","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksInConfigKwargsFirebolt","","","test_pre_and_post_model_hooks_model",""
"passed","Fri Aug 01 01:42:16 GMT 2025","Fri Aug 01 01:42:17 GMT 2025","786","tests.functional.adapter.utils","test_data_types","TestTypeBoolean","","","test_check_types_assert_match",""
"passed","Fri Aug 01 01:39:27 GMT 2025","Fri Aug 01 01:39:29 GMT 2025","1888","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
"skipped","Fri Aug 01 01:42:29 GMT 2025","Fri Aug 01 01:42:29 GMT 2025","0","tests.functional.adapter.utils","test_utils","TestListagg","","","test_build_assert_equal",""
"passed","Fri Aug 01 01:42:21 GMT 2025","Fri Aug 01 01:42:22 GMT 2025","751","tests.functional.adapter.utils","test_utils","TestConcat","","","test_build_assert_equal",""
"passed","Fri Aug 01 01:40:33 GMT 2025","Fri Aug 01 01:40:33 GMT 2025","88","tests.functional.adapter","test_dbt_debug","TestDebugFirebolt","","","test_connection_flag","
        Testing that the --connection flag works as expected,
        including that output is not lost
        "
"passed","Fri Aug 01 01:42:19 GMT 2025","Fri Aug 01 01:42:20 GMT 2025","855","tests.functional.adapter.utils","test_utils","TestBoolOr","","","test_build_assert_equal",""
"passed","Fri Aug 01 01:40:39 GMT 2025","Fri Aug 01 01:40:40 GMT 2025","1093","tests.functional.adapter","test_limit","TestFireboltShowLimit","","","test_limit[args0-5]",""
"passed","Fri Aug 01 01:40:44 GMT 2025","Fri Aug 01 01:40:45 GMT 2025","562","tests.functional.adapter","test_override","TestDocsGenerateOverride","","","test_override_used",""
"passed","Fri Aug 01 01:40:18 GMT 2025","Fri Aug 01 01:40:18 GMT 2025","508","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Fri Aug 01 01:39:18 GMT 2025","Fri Aug 01 01:39:20 GMT 2025","1400","tests.functional.adapter","test_basic","TestSingularTestsEphemeralFirebolt","","","test_singular_tests_ephemeral",""
"skipped","Fri Aug 01 01:41:36 GMT 2025","Fri Aug 01 01:41:36 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__one_unique_key","with one unique key, model will overwrite existing row"
"skipped","Fri Aug 01 01:40:39 GMT 2025","Fri Aug 01 01:40:39 GMT 2025","0","tests.functional.adapter","test_grants","TestModelGrantsFirebolt","","","test_view_table_grants",""
"skipped","Fri Aug 01 01:41:36 GMT 2025","Fri Aug 01 01:41:36 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"skipped","Fri Aug 01 01:41:36 GMT 2025","Fri Aug 01 01:41:36 GMT 2025","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__trinary_unique_key_list_no_update","even with three unique keys, adding distinct rows to seed does not
        cause seed and model to diverge"
"passed","Fri Aug 01 01:40:45 GMT 2025","Fri Aug 01 01:40:46 GMT 2025","403","tests.functional.adapter","test_query_comment","TestQueryCommentsFirebolt","","","test_matches_comment",""
"passed","Fri Aug 01 01:42:15 GMT 2025","Fri Aug 01 01:42:16 GMT 2025","790","tests.functional.adapter.utils","test_data_types","TestTypeTimestamp","","","test_check_types_assert_match",""
"passed","Fri Aug 01 01:40:29 GMT 2025","Fri Aug 01 01:40:32 GMT 2025","3251","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"passed","Fri Aug 01 01:41:01 GMT 2025","Fri Aug 01 01:41:03 GMT 2025","2179","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsInteractions","","","test_tests_run_successfully_and_are_stored_as_expected",""
"passed","Fri Aug 01 01:39:21 GMT 2025","Fri Aug 01 01:39:21 GMT 2025","542","tests.functional.adapter","test_basic","TestEmptyFirebolt","","","test_empty",""
"passed","Fri Aug 01 01:42:30 GMT 2025","Fri Aug 01 01:42:31 GMT 2025","748","tests.functional.adapter.utils","test_utils","TestReplace","","","test_build_assert_equal",""
"passed","Fri Aug 01 01:39:57 GMT 2025","Fri Aug 01 01:39:59 GMT 2025","2306","tests.functional.adapter","test_clone","TestCloneSameTargetAndState","","","test_clone_same_target_and_state",""
"passed","Fri Aug 01 01:41:24 GMT 2025","Fri Aug 01 01:41:24 GMT 2025","133","tests.functional.adapter.hooks","test_model_hooks","TestHooksRefsOnSeedsFirebolt","","","test_hook_with_ref_on_seeds",""
"passed","Fri Aug 01 01:40:18 GMT 2025","Fri Aug 01 01:40:22 GMT 2025","3030","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Fri Aug 01 01:41:16 GMT 2025","Fri Aug 01 01:41:17 GMT 2025","370","tests.functional.adapter","test_store_test_failures","TestStoreTestFailuresAsExceptions","","","test_tests_run_unsuccessfully_and_raise_appropriate_exception",""
