"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 24 22:40:13 GMT 2024","Wed Jan 24 22:40:27 GMT 2024","14200","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"passed","Wed Jan 24 22:43:43 GMT 2024","Wed Jan 24 22:43:47 GMT 2024","4264","tests.functional.adapter.utils","test_data_types","TestTypeFloat","","","test_check_types_assert_match",""
"passed","Wed Jan 24 22:44:30 GMT 2024","Wed Jan 24 22:44:34 GMT 2024","4551","tests.functional.adapter.utils","test_data_types","TestTypeString","","","test_check_types_assert_match",""
"passed","Wed Jan 24 22:44:40 GMT 2024","Wed Jan 24 22:44:45 GMT 2024","4369","tests.functional.adapter.utils","test_data_types","TestTypeTimestamp","","","test_check_types_assert_match",""
"passed","Wed Jan 24 22:48:20 GMT 2024","Wed Jan 24 22:48:23 GMT 2024","3601","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_build_assert_equal",""
"skipped","Wed Jan 24 22:39:58 GMT 2024","Wed Jan 24 22:39:58 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_str_unique_key","with empty string for unique key, seed and model should match"
"passed","Wed Jan 24 22:28:07 GMT 2024","Wed Jan 24 22:28:14 GMT 2024","6882","tests.functional.adapter","test_basic","TestGenericTestsFirebolt","","","test_generic_tests",""
"passed","Wed Jan 24 22:41:40 GMT 2024","Wed Jan 24 22:42:00 GMT 2024","20864","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
"passed","Wed Jan 24 22:37:29 GMT 2024","Wed Jan 24 22:37:36 GMT 2024","7656","tests.functional.adapter.hooks","test_model_hooks","TestHookRefsFirebolt","","","test_pre_post_model_hooks_refed",""
"passed","Wed Jan 24 22:37:03 GMT 2024","Wed Jan 24 22:37:07 GMT 2024","3448","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksFirebolt","","","test_pre_and_post_run_hooks",""
"passed","Wed Jan 24 22:43:22 GMT 2024","Wed Jan 24 22:43:29 GMT 2024","6890","tests.functional.adapter.utils","test_data_types","TestTypeBigInt","","","test_check_types_assert_match",""
"passed","Wed Jan 24 22:45:10 GMT 2024","Wed Jan 24 22:45:14 GMT 2024","4224","tests.functional.adapter.utils","test_utils","TestBoolOr","","","test_build_assert_equal",""
"passed","Wed Jan 24 22:34:22 GMT 2024","Wed Jan 24 22:34:30 GMT 2024","8174","tests.functional.adapter","test_ephemeral","TestEphemeralMultiFirebolt","","","test_ephemeral_multi",""
"skipped","Wed Jan 24 22:34:21 GMT 2024","Wed Jan 24 22:34:21 GMT 2024","0","tests.functional.adapter","test_constraints","TestModelConstraintsRuntimeEnforcementFirebolt","","","test__model_constraints_ddl",""
"passed","Wed Jan 24 22:27:13 GMT 2024","Wed Jan 24 22:27:14 GMT 2024","1018","tests.functional.adapter","test_basic","TestEmptyFirebolt","","","test_empty",""
"skipped","Wed Jan 24 22:47:51 GMT 2024","Wed Jan 24 22:47:51 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestSplitPart","","","test_build_assert_equal",""
"passed","Wed Jan 24 22:36:56 GMT 2024","Wed Jan 24 22:36:58 GMT 2024","2360","tests.functional.adapter","test_timestamps","TestCurrentTimestampFirebolt","","","test_current_timestamps",""
"passed","Wed Jan 24 22:44:13 GMT 2024","Wed Jan 24 22:44:17 GMT 2024","4447","tests.functional.adapter.utils","test_data_types","TestTypeNumeric","","","test_check_types_assert_match",""
"passed","Wed Jan 24 22:34:44 GMT 2024","Wed Jan 24 22:34:48 GMT 2024","3971","tests.functional.adapter","test_grants","TestGrantsFailWithException","","","test_view_table_grants",""
"passed","Wed Jan 24 22:26:21 GMT 2024","Wed Jan 24 22:26:39 GMT 2024","18814","tests.functional.adapter","test_basic","TestSimpleMaterializationsFirebolt","","","test_base",""
"passed","Wed Jan 24 22:46:08 GMT 2024","Wed Jan 24 22:46:11 GMT 2024","3285","tests.functional.adapter.utils","test_utils","TestDateTrunc","","","test_build_assert_equal",""
"passed","Wed Jan 24 22:32:55 GMT 2024","Wed Jan 24 22:32:58 GMT 2024","2673","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Wed Jan 24 22:45:33 GMT 2024","Wed Jan 24 22:45:36 GMT 2024","3180","tests.functional.adapter.utils","test_utils","TestConcat","","","test_build_assert_equal",""
"skipped","Wed Jan 24 22:39:58 GMT 2024","Wed Jan 24 22:39:58 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__no_unique_keys","with no unique keys, seed and model should match"
"skipped","Wed Jan 24 22:39:58 GMT 2024","Wed Jan 24 22:39:58 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"passed","Wed Jan 24 22:40:53 GMT 2024","Wed Jan 24 22:41:05 GMT 2024","11730","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__empty_unique_key_list","with no unique keys, seed and model should match"
"passed","Wed Jan 24 22:45:44 GMT 2024","Wed Jan 24 22:45:48 GMT 2024","3353","tests.functional.adapter.utils","test_utils","TestDateAdd","","","test_build_assert_equal",""
"passed","Wed Jan 24 22:30:26 GMT 2024","Wed Jan 24 22:30:55 GMT 2024","29087","tests.functional.adapter","test_concurrency","TestConcurrencyFirebolt","","","test_concurrency",""
"skipped","Wed Jan 24 22:39:58 GMT 2024","Wed Jan 24 22:39:58 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__trinary_unique_key_list","with three unique keys, model will overwrite existing row"
"passed","Wed Jan 24 22:48:43 GMT 2024","Wed Jan 24 22:48:46 GMT 2024","3555","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_build_assert_equal",""
"passed","Wed Jan 24 22:48:46 GMT 2024","Wed Jan 24 22:48:58 GMT 2024","12223","tests.functional.adapter.utils","test_utils","TestArrayConstruct","","","test_expected_actual",""
"skipped","Wed Jan 24 22:46:25 GMT 2024","Wed Jan 24 22:46:25 GMT 2024","0","tests.functional.adapter.utils","test_utils","TestExcept","","","test_build_assert_equal",""
"passed","Wed Jan 24 22:31:14 GMT 2024","Wed Jan 24 22:31:15 GMT 2024","1190","tests.functional.adapter","test_constraints","TestTableConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_names",""
"passed","Wed Jan 24 22:41:05 GMT 2024","Wed Jan 24 22:41:23 GMT 2024","18301","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__unary_unique_key_list","with one unique key, model will overwrite existing row"
"passed","Wed Jan 24 22:39:19 GMT 2024","Wed Jan 24 22:39:24 GMT 2024","5144","tests.functional.adapter.hooks","test_model_hooks","TestPrePostSnapshotHooksInConfigKwargsFirebolt","","","test_hooks_on_snapshots",""
"passed","Wed Jan 24 22:37:17 GMT 2024","Wed Jan 24 22:37:20 GMT 2024","3447","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksUnderscoresFirebolt","","","test_pre_and_post_run_hooks",""
"passed","Wed Jan 24 22:37:59 GMT 2024","Wed Jan 24 22:38:02 GMT 2024","3646","tests.functional.adapter.hooks","test_model_hooks","TestPrePostModelHooksOnSeedsPlusPrefixedFirebolt","","","test_hooks_on_seeds",""
"passed","Wed Jan 24 22:47:13 GMT 2024","Wed Jan 24 22:47:18 GMT 2024","4352","tests.functional.adapter.utils","test_utils","TestReplace","","","test_build_assert_equal",""
"passed","Wed Jan 24 22:32:09 GMT 2024","Wed Jan 24 22:32:17 GMT 2024","8718","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Wed Jan 24 22:48:01 GMT 2024","Wed Jan 24 22:48:01 GMT 2024","1","tests.functional.adapter.utils","test_utils","TestCurrentTimestamp","","","test_current_timestamp_matches_utc",""
"passed","Wed Jan 24 22:32:59 GMT 2024","Wed Jan 24 22:33:08 GMT 2024","8695","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_data_types",""
"passed","Wed Jan 24 22:32:05 GMT 2024","Wed Jan 24 22:32:07 GMT 2024","2205","tests.functional.adapter","test_constraints","TestViewConstraintsColumnsEqualFirebolt","","","test__constraints_wrong_column_order",""
"passed","Wed Jan 24 22:42:00 GMT 2024","Wed Jan 24 22:42:19 GMT 2024","18285","tests.functional.adapter.incremental","test_incremental","TestUniqueKeyDeleteInsertFirebolt","","","test__trinary_unique_key_list_no_update","even with three unique keys, adding distinct rows to seed does not
        cause seed and model to diverge"
"passed","Wed Jan 24 22:27:18 GMT 2024","Wed Jan 24 22:27:24 GMT 2024","6260","tests.functional.adapter","test_basic","TestEphemeralFirebolt","","","test_ephemeral",""
"skipped","Wed Jan 24 22:28:27 GMT 2024","Wed Jan 24 22:28:27 GMT 2024","0","tests.functional.adapter","test_basic","TestBaseAdapterMethod","","","test_adapter_methods",""
"passed","Wed Jan 24 22:48:23 GMT 2024","Wed Jan 24 22:48:31 GMT 2024","7862","tests.functional.adapter.utils","test_utils","TestArrayConcat","","","test_expected_actual",""
"skipped","Wed Jan 24 22:39:58 GMT 2024","Wed Jan 24 22:39:58 GMT 2024","0","tests.functional.adapter.incremental","test_incremental","TestIncrementalUniqueKeyFirebolt","","","test__bad_unique_key","expect compilation error from unique key not being a column"
"skipped","Wed Jan 24 22:29:05 GMT 2024","Wed Jan 24 22:29:05 GMT 2024","0","tests.functional.adapter","test_basic","TestIncrementalNotSchemaChange","","","test_incremental_not_schema_change",""
"passed","Wed Jan 24 22:33:08 GMT 2024","Wed Jan 24 22:33:40 GMT 2024","32471","tests.functional.adapter","test_constraints","TestIncrementalConstraintsColumnsEqualFirebolt","","","test__constraints_correct_column_data_types",""
"passed","Wed Jan 24 22:46:48 GMT 2024","Wed Jan 24 22:46:52 GMT 2024","3134","tests.functional.adapter.utils","test_utils","TestLength","","","test_build_assert_equal",""
"passed","Wed Jan 24 22:45:26 GMT 2024","Wed Jan 24 22:45:29 GMT 2024","2416","tests.functional.adapter.utils","test_utils","TestCastBoolToText","","","test_build_assert_equal",""
"skipped","Wed Jan 24 22:34:21 GMT 2024","Wed Jan 24 22:34:21 GMT 2024","0","tests.functional.adapter","test_constraints","TestConstraintQuotedColumnFirebolt","","","test__constraints_ddl",""
